frame,par1,par2,par3,par4,par5,par6,media
34,187.37,,,,,,187.37
35,181.68,,,,,,181.68
36,136.55,,,,,,136.55
37,124.58,,,,,,124.58
38,94.15,,,,,,94.15
39,72.00,,,,,,72.00
40,62.99,,,,,,62.99
41,62.25,,,,,,62.25
42,85.06,,,,,,85.06
47,327.99,,,,,,327.99
50,529.48,,,,,,529.48
75,539.64,,,,,,539.64
76,544.12,,,,,,544.12
92,522.14,,,,,,522.14
93,496.48,,,,,,496.48
94,470.43,,,,,,470.43
95,423.61,,,,,,423.61
96,390.14,,,,,,390.14
98,267.79,,,,,,267.79
99,219.09,,,,,,219.09
100,159.11,,,,,,159.11
101,125.87,232.52,,358.36,,,238.92
102,246.91,349.11,,102.23,,,232.75
106,323.71,,,,,,323.71
107,287.37,,,,,,287.37
111,325.50,283.79,,44.21,,,217.83
112,332.38,279.50,,54.98,,,222.29
114,279.91,,,,,,279.91
115,259.15,346.98,,91.19,,,232.44
116,240.64,335.62,,100.05,,,225.44
117,107.97,,,,,,107.97
118,181.24,138.74,73.84,313.20,247.77,65.92,170.12
119,98.86,61.39,,159.53,,,106.59
120,125.03,,,,,,125.03
121,157.92,,,,,,157.92
128,106.33,,,,,,106.33
129,93.44,,,,,,93.44
139,88.76,,,,,,88.76
151,128.99,,,,,,128.99
152,132.45,,,,,,132.45
153,132.36,,,,,,132.36
154,130.60,,,,,,130.60
155,132.29,,,,,,132.29
156,131.01,,,,,,131.01
157,132.27,,,,,,132.27
158,128.02,,,,,,128.02
162,132.49,,,,,,132.49
163,131.14,,,,,,131.14
164,130.69,,,,,,130.69
168,129.36,,,,,,129.36
169,131.81,,,,,,131.81
170,76.95,,,,,,76.95
171,76.95,,,,,,76.95
172,130.95,81.99,,55.59,,,89.51
176,71.09,,,,,,71.09
177,68.69,,,,,,68.69
188,78.29,,,,,,78.29
195,270.60,,,,,,270.60
196,179.53,,,,,,179.53
197,312.41,226.67,,85.85,,,208.31
198,320.34,,,,,,320.34
202,260.26,,,,,,260.26
204,261.11,,,,,,261.11
205,262.74,,,,,,262.74
208,159.81,227.16,,368.44,,,251.80
209,257.06,182.21,369.28,124.82,116.99,208.66,209.84
210,164.49,254.94,118.99,129.51,261.54,369.08,216.42
211,204.49,123.40,,311.92,,,213.27
219,111.52,,,,,,111.52
220,110.48,,,,,,110.48
221,107.67,,,,,,107.67
222,110.70,,,,,,110.70
223,111.32,,,,,,111.32
224,112.08,,,,,,112.08
226,113.49,,,,,,113.49
227,111.57,,,,,,111.57
228,102.78,,,,,,102.78
229,109.21,,,,,,109.21
230,108.11,,,,,,108.11
231,108.19,,,,,,108.19
232,108.07,,,,,,108.07
233,102.40,333.52,,273.31,,,236.41
234,102.40,333.52,,273.31,,,236.41
235,102.40,333.52,,273.31,,,236.41
237,348.41,318.78,90.41,123.02,261.88,250.35,232.14
238,363.53,220.26,,145.25,,,243.01
239,177.65,,,,,,177.65
240,140.11,233.08,,125.79,,,166.33
241,146.53,96.08,,229.47,,,157.36
242,73.97,235.99,,167.00,,,158.99
243,230.60,176.75,,54.00,,,153.78
244,193.52,246.16,,53.63,,,164.44
245,185.97,253.08,,68.26,,,169.10
246,187.57,,,,,,187.57
247,103.02,,,,,,103.02
295,134.61,,,,,,134.61
297,140.60,,,,,,140.60
299,115.89,,,,,,115.89
302,99.20,,,,,,99.20
306,151.39,,,,,,151.39
307,157.71,77.66,,80.74,,,105.37
308,152.35,82.04,,70.35,,,101.58
309,153.59,79.29,,74.39,,,102.42
310,149.34,,,,,,149.34
311,74.60,,,,,,74.60
312,163.55,80.95,,82.64,,,109.05
313,172.46,91.31,,81.24,,,115.00
314,85.60,169.42,,84.03,,,113.02
315,91.18,156.70,,65.68,,,104.52
316,119.48,,,,,,119.48
317,100.73,,,,,,100.73
318,98.55,,,,,,98.55
319,96.14,,,,,,96.14
320,95.39,,,,,,95.39
321,94.59,,,,,,94.59
322,96.70,,,,,,96.70
323,98.50,,,,,,98.50
324,97.17,,,,,,97.17
341,96.26,,,,,,96.26
342,53.08,,,,,,53.08
344,128.89,,,,,,128.89
346,123.42,56.55,,68.92,,,82.96
347,116.91,44.49,,75.11,,,78.84
348,118.75,74.34,,48.07,,,80.39
350,120.90,,,,,,120.90
354,162.49,,,,,,162.49
355,88.01,,,,,,88.01
356,122.18,209.35,,87.88,,,139.80
357,123.04,244.26,,122.55,,,163.28
358,214.39,103.88,,113.81,,,144.03
359,193.46,76.82,,119.84,,,130.04
360,168.37,98.87,,72.47,,,113.24
361,154.80,62.78,,93.41,,,103.66
362,156.17,59.99,,98.13,,,104.76
363,160.07,60.31,,101.80,,,107.39
364,150.95,54.51,,98.18,,,101.21
365,160.91,103.47,,59.65,,,108.01
366,61.93,158.39,,98.97,,,106.43
367,142.41,,,,,,142.41
368,105.54,,,,,,105.54
369,90.34,,,,,,90.34
370,110.00,,,,,,110.00
371,102.87,,,,,,102.87
372,124.95,,,,,,124.95
373,137.87,200.89,50.98,65.79,87.23,149.92,115.45
374,160.14,112.86,,48.82,,,107.27
376,141.06,,,,,,141.06
378,45.59,,,,,,45.59
379,150.99,,,,,,150.99
380,146.57,,,,,,146.57
381,70.79,,,,,,70.79
382,145.03,,,,,,145.03
385,129.10,,,,,,129.10
387,134.56,,,,,,134.56
388,43.84,,,,,,43.84
389,47.20,,,,,,47.20
390,136.50,66.45,,74.83,,,92.59
391,83.22,136.47,,59.35,,,93.01
392,139.08,83.96,,58.42,,,93.82
393,145.96,89.91,,59.83,,,98.57
394,146.43,92.52,,57.70,,,98.88
395,98.04,158.77,,64.97,,,107.26
396,106.72,167.71,,65.05,,,113.16
397,119.68,181.92,,65.91,,,122.50
398,72.32,114.61,,184.03,,,123.65
399,129.86,61.33,,187.18,,,126.12
400,186.56,64.05,,128.93,,,126.51
401,131.93,189.75,,62.00,,,127.89
402,142.06,197.07,,60.50,,,133.21
403,209.76,153.27,,63.39,,,142.14
404,64.28,216.11,,159.26,,,146.55
405,206.25,58.25,,155.10,,,139.87
406,148.88,,,,,,148.88
407,73.05,137.20,,203.35,,,137.87
408,192.23,58.00,,134.91,,,128.38
409,190.77,53.80,,138.35,,,127.64
410,54.53,191.56,,137.94,,,128.01
411,190.46,54.64,,136.90,,,127.33
412,47.68,181.90,,135.29,,,121.62
413,55.66,186.89,,132.58,,,125.04
414,130.70,,,,,,130.70
415,186.92,,,,,,186.92
416,187.03,,,,,,187.03
417,186.29,,,,,,186.29
418,223.89,,,,,,223.89
419,223.89,,,,,,223.89
420,223.89,,,,,,223.89
421,127.08,,,,,,127.08
422,119.76,244.51,178.33,126.46,58.68,69.22,132.83
423,134.59,249.77,72.45,125.21,62.14,181.15,137.55
424,115.68,190.49,,82.27,,,129.48
425,100.17,185.62,,95.44,,,127.08
426,105.28,186.00,232.71,84.69,135.51,52.21,132.73
427,240.49,182.66,106.91,63.12,140.80,78.88,135.48
428,248.90,148.08,82.16,106.17,168.82,65.93,136.68
429,245.00,146.88,80.51,104.08,166.56,66.37,134.90
430,242.98,66.77,143.83,182.90,105.33,79.42,136.87
431,243.90,146.05,90.84,102.41,159.32,57.45,133.33
432,237.45,84.58,,161.42,,,161.15
433,237.78,148.30,76.05,102.43,167.22,72.46,134.04
434,110.24,125.57,,220.91,,,152.24
435,218.44,106.92,,123.43,,,149.60
436,224.82,101.99,172.61,134.05,57.08,77.40,127.99
437,230.27,107.45,190.31,133.69,47.01,88.55,132.88
438,241.30,191.37,114.96,56.24,135.51,80.68,136.68
439,180.51,243.66,112.46,65.95,71.04,136.77,135.06
440,106.87,238.27,181.74,133.76,75.93,58.18,132.46
441,107.66,,,,,,107.66
442,172.21,110.82,,61.42,,,114.82
