frame,person,x,y
0,1,0.7247,0.3765
1,1,0.2285,0.7040
2,1,0.3513,0.5933
2,2,0.1112,0.7577
2,3,0.5631,0.4914
3,1,0.3513,0.5933
3,2,0.1112,0.7577
3,3,0.5631,0.4914
4,1,0.3513,0.5933
4,2,0.1112,0.7577
4,3,0.5631,0.4914
5,1,0.3513,0.5933
5,2,0.1112,0.7577
5,3,0.5631,0.4914
6,1,0.3786,0.5500
6,2,0.1198,0.7555
7,1,0.4034,0.4971
7,2,0.1180,0.7615
8,1,0.1129,0.7584
8,2,0.3840,0.5021
9,1,0.1191,0.7395
9,2,0.4032,0.4654
10,1,0.4438,0.4541
10,2,0.1208,0.7422
11,1,0.4300,0.4339
11,2,0.1203,0.7405
12,1,0.9426,0.6545
12,2,0.1220,0.7427
12,3,0.4323,0.4433
13,1,0.9426,0.6545
13,2,0.1220,0.7427
13,3,0.4323,0.4433
14,1,0.9426,0.6545
14,2,0.1220,0.7427
14,3,0.4323,0.4433
15,1,0.8884,0.6710
15,2,0.1178,0.7503
16,1,0.7970,0.7101
16,2,0.1290,0.7637
16,3,0.4715,0.4359
17,1,0.6674,0.7868
17,2,0.4752,0.4847
17,3,0.1262,0.7689
18,1,0.6674,0.7868
18,2,0.4752,0.4847
18,3,0.1262,0.7689
19,1,0.4924,0.8256
19,2,0.1121,0.7719
20,1,0.4924,0.8256
20,2,0.1121,0.7719
21,1,0.4880,0.6033
22,1,0.5031,0.6711
22,2,0.0771,0.7606
23,1,0.5031,0.6711
23,2,0.0771,0.7606
24,1,0.4979,0.7386
25,1,0.4907,0.8068
26,1,0.4907,0.8068
27,1,0.9431,0.6814
27,2,0.2242,0.7744
28,1,0.9431,0.6814
28,2,0.2242,0.7744
29,1,0.8470,0.7497
30,1,0.7830,0.7977
31,1,0.7830,0.7977
32,1,0.3485,0.8454
32,2,0.0569,0.7689
33,1,0.3485,0.8454
33,2,0.0569,0.7689
34,1,0.3485,0.8454
34,2,0.0569,0.7689
35,1,0.4863,0.7753
36,1,0.4863,0.7753
37,1,0.3945,0.7802
38,1,0.3945,0.7802
41,1,0.5879,0.4601
44,1,0.1042,0.7390
45,1,0.1042,0.7390
46,1,0.2054,0.6749
47,1,0.2666,0.6230
48,1,0.2666,0.6230
49,1,0.3379,0.6253
49,2,0.0561,0.7681
50,1,0.3379,0.6253
50,2,0.0561,0.7681
51,1,0.0598,0.7655
52,1,0.0628,0.7723
52,2,0.4566,0.6184
53,1,0.0628,0.7723
53,2,0.4566,0.6184
54,1,0.0629,0.7620
55,1,0.0629,0.7620
56,1,0.0650,0.7698
56,2,0.6968,0.5671
56,3,0.7566,0.7359
57,1,0.0650,0.7698
57,2,0.6968,0.5671
57,3,0.7566,0.7359
58,1,0.0650,0.7698
58,2,0.6968,0.5671
58,3,0.7566,0.7359
59,1,0.8436,0.7134
59,2,0.0618,0.7724
60,1,0.8050,0.5150
60,2,0.5729,0.4684
61,1,0.8528,0.4962
62,1,0.8528,0.4962
63,1,0.8528,0.4962
64,1,0.9055,0.4879
64,2,0.5808,0.4591
65,1,0.9319,0.4771
65,2,0.5845,0.4563
66,1,0.9531,0.4521
67,1,0.9531,0.4521
68,1,0.9349,0.4427
68,2,0.0611,0.7688
68,3,0.5768,0.4631
69,1,0.9349,0.4427
69,2,0.0611,0.7688
69,3,0.5768,0.4631
70,1,0.9309,0.4368
70,2,0.0616,0.7688
70,3,0.5769,0.4618
71,1,0.9309,0.4368
71,2,0.0616,0.7688
71,3,0.5769,0.4618
72,1,0.0601,0.7677
76,1,0.0615,0.7688
77,1,0.0615,0.7688
78,1,0.0615,0.7688
79,1,0.0613,0.7685
79,2,0.9174,0.4158
79,3,0.5768,0.4606
81,1,0.9236,0.4276
81,2,0.5768,0.4612
82,1,0.9236,0.4276
82,2,0.5768,0.4612
83,1,0.9245,0.4332
83,2,0.0659,0.7535
84,1,0.0637,0.7581
84,2,0.9269,0.4350
85,1,0.0637,0.7581
85,2,0.9269,0.4350
86,1,0.9340,0.6925
86,2,0.0629,0.7630
87,1,0.8359,0.6582
87,2,0.0651,0.7583
87,3,0.9496,0.4553
88,1,0.7686,0.6660
88,2,0.9342,0.4308
89,1,0.7686,0.6660
89,2,0.9342,0.4308
90,1,0.6721,0.6352
90,2,0.8810,0.4470
91,1,0.5558,0.5586
91,2,0.7952,0.4488
92,1,0.4767,0.5419
92,2,0.7022,0.4477
93,1,0.4530,0.5282
93,2,0.5873,0.4457
94,1,0.4530,0.5282
94,2,0.5873,0.4457
95,1,0.4661,0.5222
96,1,0.3633,0.4392
96,2,0.4890,0.5270
97,1,0.2493,0.4413
97,2,0.5204,0.5468
98,1,0.2493,0.4413
98,2,0.5204,0.5468
99,1,0.5593,0.5816
99,2,0.1294,0.4320
100,1,0.5593,0.5816
100,2,0.1294,0.4320
101,1,0.7258,0.6666
102,1,0.8497,0.6894
103,1,0.8497,0.6894
104,1,0.9378,0.6789
105,1,0.9378,0.6789
114,1,0.0574,0.5026
115,1,0.1161,0.4926
116,1,0.1455,0.5170
117,1,0.1789,0.5835
118,1,0.1650,0.6418
119,1,0.1621,0.7151
120,1,0.1614,0.7609
130,1,0.0645,0.7608
131,1,0.0645,0.7608
132,1,0.0642,0.7579
133,1,0.0642,0.7579
134,1,0.0638,0.7559
135,1,0.0638,0.7559
136,1,0.0646,0.7550
143,1,0.0625,0.7512
148,1,0.4721,0.7491
148,2,0.0614,0.7561
