frame,par1,par2,par3,par4,par5,par6,media
49,229.26,,,,,,229.26
50,180.92,,,,,,180.92
51,141.39,,,,,,141.39
65,135.85,,,,,,135.85
72,301.14,,,,,,301.14
73,274.09,,,,,,274.09
74,269.17,,,,,,269.17
75,249.89,,,,,,249.89
76,251.23,,,,,,251.23
77,250.55,,,,,,250.55
78,246.03,,,,,,246.03
79,244.94,,,,,,244.94
80,245.95,,,,,,245.95
81,247.74,,,,,,247.74
82,247.62,203.55,,405.91,,,285.69
83,341.88,,,,,,341.88
85,157.50,,,,,,157.50
86,256.54,102.99,,165.66,,,175.06
87,179.06,392.62,327.14,249.51,191.69,65.75,234.29
88,250.16,110.63,198.95,309.48,55.15,254.33,196.45
89,227.79,181.15,,50.24,,,153.06
90,248.32,195.81,,54.37,,,166.17
91,253.44,190.17,,64.37,,,169.33
93,128.83,,,,,,128.83
94,79.98,,,,,,79.98
95,101.40,,,,,,101.40
96,71.09,,,,,,71.09
98,106.29,,,,,,106.29
99,89.38,,,,,,89.38
100,54.97,,,,,,54.97
102,146.74,,,,,,146.74
103,110.06,,,,,,110.06
105,84.83,,,,,,84.83
110,210.10,157.70,,53.46,,,140.42
111,221.56,71.84,,152.29,,,148.56
115,146.11,,,,,,146.11
116,185.51,73.39,,112.64,,,123.85
117,198.58,83.19,,115.43,,,132.40
118,113.49,190.67,,77.23,,,127.13
119,184.72,117.05,,67.69,,,123.15
120,93.11,165.65,,72.56,,,110.44
121,127.01,,,,,,127.01
122,113.02,,,,,,113.02
123,74.86,85.05,,159.86,,,106.59
124,137.02,,,,,,137.02
125,92.86,,,,,,92.86
126,117.48,,,,,,117.48
127,109.51,72.96,,181.17,,,121.21
128,164.19,215.66,,51.84,,,143.90
129,259.11,184.22,,76.56,,,173.30
130,294.95,204.24,,95.13,,,198.11
131,162.60,287.52,,129.63,,,193.25
132,122.42,,,,,,122.42
133,69.33,,,,,,69.33
135,129.33,,,,,,129.33
136,179.62,225.80,,46.55,,,150.66
137,299.64,87.43,,213.62,,,200.23
138,323.77,101.57,,224.31,,,216.55
139,295.52,98.44,,200.71,,,198.22
140,224.72,142.69,,86.61,,,151.34
141,67.68,139.12,46.44,205.74,111.05,94.96,110.83
143,65.65,93.94,,159.59,,,106.39
144,166.45,74.16,,92.81,,,111.14
145,90.26,75.61,,163.76,,,109.88
146,130.22,75.12,,57.39,,,87.58
147,106.47,,,,,,106.47
148,86.69,,,,,,86.69
153,81.89,,,,,,81.89
154,169.21,335.22,104.36,167.95,67.16,235.11,179.84
155,92.77,248.04,,157.90,,,166.24
156,269.89,,,,,,269.89
157,319.12,,,,,,319.12
158,336.73,,,,,,336.73
159,254.09,,,,,,254.09
160,272.08,,,,,,272.08
161,277.01,98.38,,303.99,,,226.46
162,164.88,285.10,259.69,390.93,141.70,523.25,294.26
166,415.17,413.75,243.66,99.93,176.28,173.87,253.78
167,192.48,210.57,,401.93,,,268.33
168,173.03,373.85,,201.40,,,249.43
169,361.45,,,,,,361.45
170,335.42,,,,,,335.42
171,311.55,,,,,,311.55
185,137.89,,,,,,137.89
225,139.37,,,,,,139.37
231,103.89,,,,,,103.89
232,111.66,,,,,,111.66
233,112.81,,,,,,112.81
263,152.58,,,,,,152.58
264,173.69,,,,,,173.69
265,174.51,,,,,,174.51
275,195.60,,,,,,195.60
276,194.30,,,,,,194.30
277,183.17,,,,,,183.17
278,173.04,,,,,,173.04
279,183.36,,,,,,183.36
280,203.66,,,,,,203.66
281,216.65,,,,,,216.65
282,225.13,,,,,,225.13
283,228.93,,,,,,228.93
284,223.50,,,,,,223.50
285,210.34,,,,,,210.34
286,208.39,,,,,,208.39
287,208.01,,,,,,208.01
288,202.49,,,,,,202.49
289,202.06,,,,,,202.06
290,203.07,,,,,,203.07
291,194.44,,,,,,194.44
292,192.64,,,,,,192.64
293,190.56,,,,,,190.56
294,182.21,,,,,,182.21
295,183.44,,,,,,183.44
296,177.82,,,,,,177.82
297,179.89,,,,,,179.89
298,173.91,,,,,,173.91
299,167.62,,,,,,167.62
300,175.63,,,,,,175.63
301,175.27,,,,,,175.27
302,170.01,,,,,,170.01
303,172.74,,,,,,172.74
304,172.19,,,,,,172.19
305,171.07,,,,,,171.07
306,170.42,,,,,,170.42
307,175.42,,,,,,175.42
308,173.11,,,,,,173.11
313,173.57,,,,,,173.57
314,178.45,,,,,,178.45
324,172.35,,,,,,172.35
326,166.66,,,,,,166.66
327,167.18,,,,,,167.18
340,217.40,,,,,,217.40
342,213.64,,,,,,213.64
344,195.80,,,,,,195.80
345,196.32,,,,,,196.32
346,198.36,,,,,,198.36
358,186.33,,,,,,186.33
359,177.21,,,,,,177.21
362,159.38,,,,,,159.38
363,159.83,,,,,,159.83
364,152.09,,,,,,152.09
365,152.20,,,,,,152.20
368,136.62,,,,,,136.62
369,145.39,,,,,,145.39
370,160.15,,,,,,160.15
371,176.09,,,,,,176.09
372,202.87,,,,,,202.87
373,202.38,,,,,,202.38
374,203.18,,,,,,203.18
375,210.33,,,,,,210.33
376,204.58,,,,,,204.58
377,206.28,,,,,,206.28
381,234.04,,,,,,234.04
385,267.49,,,,,,267.49
388,251.05,,,,,,251.05
389,220.75,,,,,,220.75
391,232.00,,,,,,232.00
393,246.15,,,,,,246.15
394,254.69,,,,,,254.69
395,254.79,,,,,,254.79
396,252.08,,,,,,252.08
397,236.34,,,,,,236.34
398,237.71,,,,,,237.71
399,237.84,,,,,,237.84
400,247.84,,,,,,247.84
401,244.59,,,,,,244.59
402,261.46,,,,,,261.46
403,287.67,,,,,,287.67
