frame,par1,par2,par3,par4,par5,par6,media
180,300.91,,,,,,300.91
181,300.91,,,,,,300.91
182,300.91,,,,,,300.91
183,300.91,,,,,,300.91
184,300.91,,,,,,300.91
225,327.29,,,,,,327.29
246,142.04,,,,,,142.04
247,136.04,,,,,,136.04
248,136.04,,,,,,136.04
249,136.04,,,,,,136.04
250,136.04,,,,,,136.04
251,136.04,,,,,,136.04
252,141.61,,,,,,141.61
253,141.61,,,,,,141.61
254,143.82,,,,,,143.82
255,143.82,,,,,,143.82
256,143.65,,,,,,143.65
267,284.36,,,,,,284.36
268,284.36,,,,,,284.36
578,120.25,,,,,,120.25
579,120.25,,,,,,120.25
744,356.06,,,,,,356.06
808,202.64,,,,,,202.64
809,202.64,,,,,,202.64
823,266.49,,,,,,266.49
824,266.49,,,,,,266.49
830,258.23,,,,,,258.23
831,248.05,,,,,,248.05
832,248.05,,,,,,248.05
833,248.05,,,,,,248.05
838,160.81,364.26,,212.07,,,245.71
839,160.81,364.26,,212.07,,,245.71
869,224.05,,,,,,224.05
870,224.05,,,,,,224.05
871,224.37,,,,,,224.37
872,229.96,,,,,,229.96
873,229.96,,,,,,229.96
874,233.79,,,,,,233.79
875,233.79,,,,,,233.79
876,232.94,,,,,,232.94
879,222.70,,,,,,222.70
880,190.55,,,,,,190.55
887,136.66,,,,,,136.66
888,136.66,,,,,,136.66
889,166.33,,,,,,166.33
890,203.45,,,,,,203.45
891,203.45,,,,,,203.45
892,203.45,,,,,,203.45
893,190.13,,,,,,190.13
894,190.13,,,,,,190.13
895,186.53,,,,,,186.53
896,186.53,,,,,,186.53
897,186.53,,,,,,186.53
898,186.53,,,,,,186.53
899,188.16,,,,,,188.16
900,188.16,,,,,,188.16
901,153.51,,,,,,153.51
902,153.51,,,,,,153.51
903,153.51,,,,,,153.51
904,125.19,,,,,,125.19
905,125.19,,,,,,125.19
906,110.67,,,,,,110.67
907,110.67,,,,,,110.67
908,132.34,,,,,,132.34
909,132.34,,,,,,132.34
910,132.34,,,,,,132.34
911,135.31,,,,,,135.31
912,129.51,,,,,,129.51
913,129.51,,,,,,129.51
914,117.03,,,,,,117.03
917,118.51,,,,,,118.51
918,118.73,,,,,,118.73
919,118.73,,,,,,118.73
920,118.73,,,,,,118.73
921,118.73,,,,,,118.73
922,118.73,,,,,,118.73
923,117.27,,,,,,117.27
