frame,par1,par2,par3,par4,par5,par6,media
2,118.15,331.68,,440.33,,,296.72
3,453.31,168.55,,298.83,,,306.90
6,516.87,,,,,,516.87
7,506.54,,,,,,506.54
34,187.03,,,,,,187.03
35,202.59,,,,,,202.59
71,129.73,,,,,,129.73
72,108.12,,,,,,108.12
97,64.08,,,,,,64.08
98,107.93,,,,,,107.93
99,129.99,,,,,,129.99
103,126.40,,,,,,126.40
104,115.50,,,,,,115.50
105,96.24,,,,,,96.24
106,77.71,,,,,,77.71
107,82.41,,,,,,82.41
108,88.41,,,,,,88.41
109,88.41,,,,,,88.41
114,224.49,,,,,,224.49
115,319.26,,,,,,319.26
117,492.08,,,,,,492.08
119,421.72,,,,,,421.72
120,395.20,,,,,,395.20
126,388.16,,,,,,388.16
127,419.18,,,,,,419.18
146,159.58,,,,,,159.58
178,400.34,,,,,,400.34
179,398.48,,,,,,398.48
180,400.56,,,,,,400.56
181,401.53,,,,,,401.53
182,408.49,,,,,,408.49
183,424.15,,,,,,424.15
184,426.85,,,,,,426.85
185,436.68,,,,,,436.68
186,428.39,,,,,,428.39
187,431.50,,,,,,431.50
188,428.09,,,,,,428.09
189,425.12,,,,,,425.12
190,425.89,,,,,,425.89
191,422.43,,,,,,422.43
192,412.72,,,,,,412.72
193,390.57,,,,,,390.57
199,279.97,,,,,,279.97
200,367.51,,,,,,367.51
203,381.97,,,,,,381.97
204,382.51,,,,,,382.51
205,383.48,,,,,,383.48
206,378.35,,,,,,378.35
207,382.92,,,,,,382.92
208,380.37,,,,,,380.37
209,379.53,,,,,,379.53
210,379.53,,,,,,379.53
211,371.15,,,,,,371.15
212,375.71,,,,,,375.71
213,379.57,,,,,,379.57
214,383.05,,,,,,383.05
215,383.41,,,,,,383.41
216,392.53,,,,,,392.53
217,391.02,,,,,,391.02
218,390.20,,,,,,390.20
220,415.28,,,,,,415.28
221,418.64,,,,,,418.64
222,420.81,,,,,,420.81
223,413.76,,,,,,413.76
224,406.90,,,,,,406.90
225,407.55,,,,,,407.55
226,407.55,,,,,,407.55
227,407.55,,,,,,407.55
228,402.88,,,,,,402.88
229,398.29,,,,,,398.29
232,361.93,,,,,,361.93
233,352.16,,,,,,352.16
234,347.40,,,,,,347.40
235,346.09,,,,,,346.09
236,338.47,,,,,,338.47
237,347.26,,,,,,347.26
239,339.82,,,,,,339.82
240,340.22,,,,,,340.22
242,349.21,,,,,,349.21
244,346.62,,,,,,346.62
246,316.99,,,,,,316.99
249,284.81,,,,,,284.81
271,321.56,,,,,,321.56
274,344.59,,,,,,344.59
275,345.17,,,,,,345.17
276,341.90,,,,,,341.90
277,343.45,,,,,,343.45
279,352.16,,,,,,352.16
289,358.68,,,,,,358.68
293,426.88,,,,,,426.88
294,450.55,,,,,,450.55
295,472.44,,,,,,472.44
296,480.59,,,,,,480.59
298,485.21,,,,,,485.21
301,490.32,,,,,,490.32
303,492.00,,,,,,492.00
305,493.87,,,,,,493.87
306,493.87,,,,,,493.87
307,506.94,,,,,,506.94
308,495.79,,,,,,495.79
310,501.60,,,,,,501.60
311,498.01,,,,,,498.01
312,494.78,,,,,,494.78
313,494.78,,,,,,494.78
314,493.36,,,,,,493.36
316,489.82,,,,,,489.82
317,486.26,,,,,,486.26
321,492.40,,,,,,492.40
323,492.70,,,,,,492.70
324,493.05,,,,,,493.05
325,491.05,,,,,,491.05
326,491.27,,,,,,491.27
327,490.32,,,,,,490.32
328,485.52,,,,,,485.52
329,486.18,,,,,,486.18
332,497.74,,,,,,497.74
333,487.77,,,,,,487.77
334,487.32,,,,,,487.32
335,481.11,,,,,,481.11
338,467.88,,,,,,467.88
339,463.27,,,,,,463.27
340,464.28,,,,,,464.28
341,459.85,,,,,,459.85
342,456.66,,,,,,456.66
343,455.76,,,,,,455.76
344,456.75,,,,,,456.75
345,454.63,,,,,,454.63
346,448.26,,,,,,448.26
347,448.26,,,,,,448.26
351,471.19,378.50,,101.43,,,317.04
352,505.82,370.73,,140.18,,,338.91
353,518.79,361.87,,160.62,,,347.09
354,370.31,533.72,,165.44,,,356.49
355,372.91,,,,,,372.91
356,380.78,,,,,,380.78
357,382.50,,,,,,382.50
358,376.03,,,,,,376.03
359,348.17,,,,,,348.17
360,309.79,,,,,,309.79
369,271.65,,,,,,271.65
370,269.55,,,,,,269.55
375,232.96,,,,,,232.96
376,203.95,,,,,,203.95
377,186.08,,,,,,186.08
378,165.75,,,,,,165.75
391,93.86,,,,,,93.86
393,269.55,,,,,,269.55
394,283.81,,,,,,283.81
396,185.32,,,,,,185.32
397,220.17,,,,,,220.17
398,267.80,,,,,,267.80
399,264.65,,,,,,264.65
403,246.43,,,,,,246.43
404,246.43,,,,,,246.43
405,232.86,,,,,,232.86
406,218.07,,,,,,218.07
407,214.56,,,,,,214.56
408,198.75,,,,,,198.75
409,198.81,,,,,,198.81
410,195.33,,,,,,195.33
411,166.73,,,,,,166.73
412,158.29,,,,,,158.29
413,132.29,,,,,,132.29
414,109.41,,,,,,109.41
428,72.51,,,,,,72.51
431,89.89,,,,,,89.89
432,89.15,,,,,,89.15
433,86.49,,,,,,86.49
435,87.88,,,,,,87.88
436,87.88,,,,,,87.88
438,90.73,,,,,,90.73
439,90.59,,,,,,90.59
440,90.35,,,,,,90.35
441,86.06,,,,,,86.06
450,95.05,,,,,,95.05
452,119.62,,,,,,119.62
453,117.11,,,,,,117.11
454,114.31,,,,,,114.31
455,106.77,,,,,,106.77
457,104.91,,,,,,104.91
458,111.62,,,,,,111.62
460,121.65,,,,,,121.65
462,136.84,,,,,,136.84
463,129.46,,,,,,129.46
464,125.87,,,,,,125.87
465,125.77,,,,,,125.77
