TG AT,AS,JL
TG JL,AS,AT
AS AT,TG,JL
AS AT,TG,JL
AS AT TG, JL
AS AT,TG,JL
AS AT TG,JL
AS AT TG JL
AT,AS JL TG
AT,AS TG,JL
AT JL,AS TG
AT JL,AS TG,AS
AS AT JL,TG
AS AT TG JL
TG JL,AS,AT
AT,AS TG,JL
AS JL,TG,AT
AS AT TG JL,AS,AT
JL,AS AT TG
JL AT,AS,TG
JL AT,AS TG
JL AT,AS TG
AS,AT,TG,JL
JL AT,AS,TG
JL AT,AS TG,AS AT TG JL	
JL AT,AS TG,JL,AT

JL AT,AS,TG,JL,AT
