frame,par1,par2,par3,par4,par5,par6,media
4,150.72,,,,,,150.72
5,320.63,,,,,,320.63
8,145.36,,,,,,145.36
9,377.89,302.18,,192.71,,,290.93
10,433.93,,,,,,433.93
11,219.26,,,,,,219.26
16,163.74,,,,,,163.74
18,187.25,,,,,,187.25
28,422.38,,,,,,422.38
29,427.17,,,,,,427.17
30,373.89,,,,,,373.89
33,511.88,,,,,,511.88
34,521.52,,,,,,521.52
35,489.66,,,,,,489.66
36,501.46,196.01,,307.44,,,334.97
37,329.25,,,,,,329.25
38,287.32,,,,,,287.32
39,271.94,,,,,,271.94
40,266.54,,,,,,266.54
41,319.71,,,,,,319.71
42,322.39,,,,,,322.39
45,68.96,219.00,,273.00,,,186.99
46,117.83,,,,,,117.83
48,404.01,,,,,,404.01
49,502.37,,,,,,502.37
115,270.73,,,,,,270.73
116,266.22,,,,,,266.22
117,343.24,246.78,,117.53,,,235.85
118,232.31,337.80,,119.12,,,229.74
119,192.68,298.86,,114.07,,,201.87
120,151.52,273.32,350.16,126.14,200.93,77.39,196.58
121,127.52,234.48,305.26,110.26,179.01,71.88,171.40
122,108.73,108.94,,216.34,,,144.67
123,174.64,,,,,,174.64
125,101.88,,,,,,101.88
130,120.23,,,,,,120.23
131,126.60,,,,,,126.60
132,147.36,,,,,,147.36
133,178.07,,,,,,178.07
134,216.91,,,,,,216.91
135,254.30,371.38,,118.82,,,248.17
136,378.58,293.33,,88.84,,,253.58
137,327.37,,,,,,327.37
145,213.21,,,,,,213.21
146,165.14,,,,,,165.14
147,126.71,251.44,,127.62,,,168.59
150,139.12,158.63,,168.19,,,155.31
152,317.96,183.22,234.17,150.92,103.43,52.44,173.69
153,259.95,,,,,,259.95
158,360.19,,,,,,360.19
160,266.88,,,,,,266.88
161,376.95,287.70,215.38,89.53,172.75,93.15,205.91
162,367.76,274.03,175.69,94.81,203.88,120.01,206.03
163,259.59,142.32,368.60,140.33,109.98,240.41,210.21
164,237.64,146.07,,382.11,,,255.27
165,191.71,198.15,,388.39,,,259.42
167,383.73,233.46,,156.29,,,257.83
168,235.07,,,,,,235.07
169,246.53,205.76,126.22,447.97,367.24,80.74,245.74
170,112.37,114.70,358.30,226.03,248.39,472.98,255.46
171,496.43,233.13,345.00,263.57,152.12,113.65,267.32
172,521.34,296.02,,225.47,,,347.61
173,545.70,,,,,,545.70
174,234.73,,,,,,234.73
175,233.80,,,,,,233.80
176,221.27,,,,,,221.27
177,191.07,,,,,,191.07
179,292.54,122.06,,170.78,,,195.13
180,108.44,,,,,,108.44
181,88.55,,,,,,88.55
182,88.07,180.17,,267.45,,,178.56
183,404.15,83.54,177.62,487.65,231.04,260.01,274.00
184,378.41,205.51,475.38,178.79,96.99,274.36,268.24
185,327.67,456.33,172.81,129.05,162.09,290.60,256.42
186,410.89,113.03,,312.70,,,278.87
187,150.03,348.11,,203.04,,,233.73
188,287.12,102.84,,364.89,,,251.62
189,381.42,,,,,,381.42
191,222.77,258.15,,37.70,,,172.87
192,236.16,,,,,,236.16
193,214.62,,,,,,214.62
194,190.91,,,,,,190.91
195,160.19,93.06,,69.53,,,107.59
204,146.52,,,,,,146.52
205,230.20,,,,,,230.20
207,340.50,,,,,,340.50
208,404.67,,,,,,404.67
209,383.02,47.84,,429.26,,,286.71
210,450.77,389.07,,64.90,,,301.58
211,371.66,86.87,,450.63,,,303.05
212,350.87,109.38,,449.73,,,303.33
213,328.96,137.35,,451.30,,,305.87
214,287.90,175.91,,447.56,,,303.79
215,217.44,244.76,,438.16,,,300.12
216,262.18,,,,,,262.18
217,311.52,,,,,,311.52
218,152.47,365.36,,448.86,,,322.23
219,401.56,,,,,,401.56
220,412.59,,,,,,412.59
221,432.64,,,,,,432.64
223,435.40,,,,,,435.40
224,504.83,379.95,,133.67,,,339.48
