frame,person,x,y
1,1,0.0891,0.7082
1,2,0.5998,0.8186
2,1,0.6836,0.7301
2,2,0.7788,0.8201
2,3,0.3543,0.8951
3,1,0.6836,0.7301
3,2,0.7788,0.8201
3,3,0.3543,0.8951
4,1,0.6836,0.7301
4,2,0.7788,0.8201
4,3,0.3543,0.8951
5,1,0.7648,0.7294
5,2,0.5858,0.8056
6,1,0.8110,0.6854
7,1,0.2664,0.7153
7,2,0.8965,0.6458
8,1,0.1810,0.6686
8,2,0.9652,0.6085
9,1,0.0413,0.5942
21,1,0.0432,0.5908
22,1,0.0432,0.5908
23,1,0.0888,0.5647
24,1,0.1434,0.5749
25,1,0.1845,0.6235
26,1,0.2381,0.6657
27,1,0.2381,0.6657
28,1,0.2616,0.7413
29,1,0.3015,0.8108
33,1,0.9444,0.7808
36,1,0.5311,0.8489
37,1,0.6152,0.8519
38,1,0.6322,0.8212
39,1,0.5758,0.8342
40,1,0.4403,0.8652
41,1,0.5191,0.8444
42,1,0.5191,0.8444
43,1,0.5683,0.8564
44,1,0.5014,0.8414
45,1,0.5014,0.8414
46,1,0.4777,0.8360
47,1,0.4968,0.8560
48,1,0.4968,0.8560
49,1,0.5011,0.8485
50,1,0.5011,0.8485
51,1,0.5774,0.8491
52,1,0.5495,0.8361
53,1,0.5545,0.8495
54,1,0.5544,0.8365
55,1,0.5544,0.8365
56,1,0.5372,0.8470
57,1,0.5504,0.8324
58,1,0.5504,0.8324
59,1,0.5143,0.8208
60,1,0.5598,0.8178
61,1,0.5172,0.8116
62,1,0.5172,0.8116
63,1,0.5270,0.8110
64,1,0.5270,0.8110
65,1,0.5169,0.8119
66,1,0.5275,0.8198
67,1,0.5275,0.8198
68,1,0.5307,0.8028
69,1,0.5307,0.8028
70,1,0.5307,0.8028
71,1,0.5358,0.7988
72,1,0.5355,0.8017
73,1,0.5327,0.8027
74,1,0.5327,0.8027
75,1,0.5252,0.7937
76,1,0.5224,0.7928
77,1,0.5175,0.8169
77,2,0.9313,0.8319
78,1,0.5064,0.8095
78,2,0.9220,0.8276
79,1,0.9176,0.8058
79,2,0.4946,0.8159
80,1,0.4548,0.8087
80,2,0.8699,0.7610
81,1,0.4243,0.7535
81,2,0.9451,0.5259
81,3,0.8099,0.7467
82,1,0.3821,0.6665
82,2,0.7451,0.6692
82,3,0.9001,0.4860
83,1,0.3787,0.5675
83,2,0.6797,0.5837
83,3,0.8409,0.4487
84,1,0.3854,0.5035
84,2,0.6216,0.5305
84,3,0.8104,0.4300
84,4,0.9312,0.4382
85,1,0.3992,0.4732
85,2,0.5982,0.4896
85,3,0.7634,0.4025
85,4,0.8752,0.4208
86,1,0.5734,0.4520
86,2,0.4035,0.4520
86,3,0.7395,0.3856
87,1,0.7025,0.3659
87,2,0.4331,0.4427
88,1,0.5049,0.4169
88,2,0.6618,0.3688
89,1,0.6341,0.3611
91,1,0.3780,0.3793
93,1,0.3017,0.4113
93,2,0.4890,0.3853
94,1,0.3017,0.4113
94,2,0.4890,0.3853
95,1,0.1841,0.4491
95,2,0.4612,0.4059
96,1,0.4924,0.4106
96,2,0.1548,0.4647
97,1,0.1153,0.5081
97,2,0.6969,0.3159
97,3,0.5709,0.4196
98,1,0.1040,0.5232
98,2,0.6115,0.4107
99,1,0.0935,0.5388
100,1,0.1210,0.5453
101,1,0.1277,0.5657
102,1,0.1239,0.5912
103,1,0.1432,0.5901
104,1,0.1916,0.6076
104,2,0.5159,0.4719
105,1,0.2174,0.6347
105,2,0.4568,0.4635
106,1,0.2395,0.6627
106,2,0.4030,0.4642
106,3,0.5937,0.3604
107,1,0.2938,0.6957
108,1,0.4608,0.7664
108,2,0.5453,0.4104
108,3,0.2839,0.4577
109,1,0.2724,0.4435
110,1,0.7404,0.7483
110,2,0.2765,0.4322
110,3,0.5122,0.4408
110,4,0.4361,0.3871
111,1,0.9414,0.6920
113,1,0.4069,0.3901
115,1,0.9510,0.5742
115,2,0.3979,0.3889
116,1,0.8907,0.5620
116,2,0.4787,0.4475
117,1,0.9181,0.5435
117,2,0.3335,0.4157
117,3,0.4709,0.4630
117,4,0.6005,0.3455
118,1,0.8878,0.5129
118,2,0.3154,0.4218
118,3,0.4600,0.4792
118,4,0.6308,0.3414
119,1,0.4789,0.4971
119,2,0.8497,0.4644
119,3,0.2528,0.4410
120,1,0.4789,0.4971
120,2,0.8497,0.4644
120,3,0.2528,0.4410
121,1,0.5313,0.4988
122,1,0.5313,0.4988
123,1,0.5041,0.4886
123,2,0.1195,0.4525
123,3,0.8175,0.3609
123,4,0.6919,0.3812
124,1,0.6603,0.3806
124,2,0.4896,0.4537
124,3,0.8393,0.3664
124,4,0.1015,0.4421
125,1,0.6603,0.3806
125,2,0.4896,0.4537
125,3,0.8393,0.3664
125,4,0.1015,0.4421
126,1,0.9403,0.4005
126,2,0.0879,0.4386
127,1,0.4505,0.4329
127,2,0.0838,0.4335
128,1,0.1048,0.4365
128,2,0.4505,0.4315
129,1,0.1317,0.4295
129,2,0.4302,0.4305
130,1,0.1604,0.4277
130,2,0.6158,0.3576
130,3,0.3510,0.4168
131,1,0.1620,0.4314
131,2,0.3313,0.4191
132,1,0.3149,0.4239
132,2,0.1766,0.4245
133,1,0.3239,0.4206
133,2,0.9542,0.4908
133,3,0.1940,0.3988
133,4,0.5999,0.3677
134,1,0.9367,0.5152
134,2,0.3475,0.4262
134,3,0.6254,0.3750
134,4,0.1969,0.3969
135,1,0.8303,0.5630
135,2,0.1957,0.3899
135,3,0.6843,0.3863
136,1,0.7291,0.5670
136,2,0.5114,0.4121
136,3,0.1944,0.3891
137,1,0.6339,0.5468
137,2,0.1938,0.3918
137,3,0.7639,0.3790
138,1,0.6886,0.3893
139,1,0.3258,0.3852
139,2,0.6736,0.4108
139,3,0.7291,0.3759
140,1,0.7581,0.4037
140,2,0.4242,0.3476
141,1,0.7532,0.4142
141,2,0.4575,0.3443
142,1,0.4921,0.3471
142,2,0.7387,0.4232
142,3,0.6375,0.3531
146,1,0.7076,0.4361
148,1,0.5532,0.4592
149,1,0.4485,0.4648
149,2,0.6686,0.3525
150,1,0.2696,0.4597
151,1,0.2040,0.4508
151,2,0.7337,0.3628
152,1,0.7088,0.4091
152,2,0.1107,0.4482
152,3,0.7799,0.3683
153,1,0.0787,0.4539
153,2,0.7811,0.3621
153,3,0.6864,0.4266
154,1,0.6612,0.4683
154,2,0.0805,0.4539
154,3,0.7827,0.3608
155,1,0.5839,0.5269
155,2,0.0735,0.4183
155,3,0.7780,0.3643
156,1,0.5264,0.5589
156,2,0.0809,0.4473
156,3,0.7787,0.3651
157,1,0.4677,0.6048
157,2,0.7791,0.3631
157,3,0.0960,0.4449
158,1,0.3321,0.7038
158,2,0.7800,0.3649
159,1,0.2475,0.7289
159,2,0.0799,0.4279
159,3,0.7804,0.3647
160,1,0.1877,0.7337
160,2,0.7811,0.3713
161,1,0.1948,0.8140
161,2,0.7904,0.3753
162,1,0.7755,0.4083
163,1,0.7743,0.4313
163,2,0.1238,0.7853
164,1,0.9111,0.6376
164,2,0.1056,0.8240
164,3,0.2336,0.4321
164,4,0.7839,0.4558
165,1,0.1308,0.7533
165,2,0.8583,0.6823
165,3,0.7833,0.4573
165,4,0.3044,0.4321
166,1,0.1328,0.6883
166,2,0.3633,0.4327
166,3,0.7706,0.4718
167,1,0.1636,0.5673
167,2,0.6045,0.6776
167,3,0.7725,0.4552
167,4,0.4655,0.4098
168,1,0.1631,0.5246
168,2,0.5279,0.6576
168,3,0.7781,0.4573
169,1,0.4570,0.6476
169,2,0.1521,0.4998
169,3,0.7776,0.4583
170,1,0.3476,0.6238
170,2,0.1112,0.4761
170,3,0.7486,0.4579
171,1,0.7162,0.4590
171,2,0.2962,0.6207
171,3,0.4598,0.3684
171,4,0.1013,0.4531
172,1,0.7162,0.4590
172,2,0.2962,0.6207
172,3,0.4598,0.3684
172,4,0.1013,0.4531
173,1,0.3520,0.6343
173,2,0.6663,0.4366
173,3,0.4492,0.3628
173,4,0.1181,0.4418
174,1,0.3508,0.6540
174,2,0.6646,0.4360
174,3,0.1210,0.4316
174,4,0.4497,0.3563
175,1,0.3610,0.6570
175,2,0.6652,0.4376
175,3,0.4514,0.3602
175,4,0.1107,0.4409
176,1,0.4752,0.6025
176,2,0.1036,0.4419
