frame,par1,par2,par3,par4,par5,par6,media
52,420.75,,,,,,420.75
76,130.22,,,,,,130.22
81,195.88,,,,,,195.88
85,211.30,,,,,,211.30
86,173.26,,,,,,173.26
87,73.53,,,,,,73.53
89,125.26,,,,,,125.26
90,264.95,,,,,,264.95
91,373.15,,,,,,373.15
138,238.08,,,,,,238.08
139,238.47,115.87,,147.12,,,167.15
140,238.47,115.87,,147.12,,,167.15
141,238.47,115.87,,147.12,,,167.15
142,152.22,198.53,,55.67,,,135.47
144,234.21,98.73,,135.72,,,156.22
145,120.78,260.73,,142.15,,,174.55
146,265.26,105.18,,163.09,,,177.84
147,251.49,161.61,,95.17,,,169.42
148,217.63,,,,,,217.63
149,194.41,89.85,,109.96,,,131.41
150,157.61,79.22,,87.21,,,108.01
151,115.83,,,,,,115.83
153,91.32,,,,,,91.32
154,92.40,,,,,,92.40
155,93.08,,,,,,93.08
156,92.52,,,,,,92.52
157,109.36,,,,,,109.36
158,121.62,,,,,,121.62
159,121.65,,,,,,121.65
160,118.24,,,,,,118.24
161,68.21,,,,,,68.21
162,51.55,,,,,,51.55
163,182.33,,,,,,182.33
164,257.17,,,,,,257.17
165,277.42,,,,,,277.42
174,80.28,,,,,,80.28
175,83.79,,,,,,83.79
176,83.25,,,,,,83.25
177,85.24,,,,,,85.24
178,85.02,,,,,,85.02
179,84.12,,,,,,84.12
180,82.08,,,,,,82.08
181,82.69,,,,,,82.69
182,84.66,,,,,,84.66
183,84.19,,,,,,84.19
184,93.51,,,,,,93.51
185,120.93,,,,,,120.93
186,136.50,,,,,,136.50
187,164.45,,,,,,164.45
188,200.00,,,,,,200.00
189,225.16,,,,,,225.16
190,253.99,,,,,,253.99
191,256.48,,,,,,256.48
192,252.61,,,,,,252.61
193,253.05,,,,,,253.05
194,249.22,,,,,,249.22
195,281.75,522.85,,247.40,,,350.67
196,278.74,517.30,,245.18,,,347.07
197,513.04,241.35,,277.78,,,344.06
198,513.03,276.70,,241.91,,,343.88
199,519.42,276.79,,249.14,,,348.45
200,539.84,264.62,,280.47,,,361.64
201,546.75,265.48,,286.36,,,366.20
202,290.71,555.62,,271.26,,,372.53
203,292.25,509.56,,221.20,,,341.00
204,550.88,458.55,289.23,97.12,268.33,172.41,306.09
