TG AT,AS TG,TG JL,TG AT AS JL
AT,AT JL,AS,TG AT AS JL
TG JL,AS AT
TG JL,AS AT,AS,AT
TG JL,TG JL AT,AS,AS AT
TG JL,TG JL AS,AS,AT
TG JL AT,AS
TG JL AT,TG AT,JL,AS
TG JL AT,TG AT,JL AS,JL,AS
AT TG,JL,AS,JL AS,TG JL,TG AT AS JL
AS AT,JL,TG AT
TG AT AS JL,AS,AT,JL,TG
TG AT AS JL,AS,AT,JL,TG,JL TG,AS AT
AS,AT,JL,TG,JL AS,TG AT
JL AS,TG,AT
AS,AT,JL,TG
AS,AT,JL,TG
AS,AT,JL,TG
AS TG,AS,JL
AT TG,AS,JL,AT TG AS
AT TG,AS,JL,AT TG AS,AT TG JL
AT TG,AS,JL,AT TG AS
AT TG,AS,JL,AT TG AS
AT TG,JL,AT TG AS JL
AT TG,AS,JL,AT TG AS,AT,TG AS
AS,AT,JL,TG,TG AS,AT TG AS
AS,AT,JL,TG,TG AS,TG AT AS JL
AT TG,AS,JL,AT JL
AT TG,AS,JL,AT JL,TG JL
AS,AT JL,TG JL
AS,AT JL TG,TG JL
TG AT AS JL,AT JL
TG AT AS JL,AT JL,TG AS
TG AT AS JL,AT JL,AT JL AS,TG
TG AT AS JL,AT JL,TG,AS
TG,AT JL AS
TG,AT JL AS,AS,AT JL
TG,AT JL AS
AT JL AS,AS TG,AS,AT,JL,TG
AS,AT,JL,TG,AT JL AS
AS,AT,JL,TG,AT JL
AS,AT,JL,TG,AT JL AS
TG,JL,AS AT
TG AS,TG AS AT,AT,JL
AS,AT,JL,TG
AT,AS JL,TG
AS,AT,JL,TG,TG AT,AT JL
TG AT,AS,AT,JL,TG AS,AT JL
AT,AS,JL,TG,TG AT,AT JL
AT,AS,JL,TG
AT,AS,JL,TG,AT JL
AT,AS,JL,TG
AT,AS,JL,TG,AT JL,AS JL
AT,AS,JL,TG,AT AS
