frame,person,x,y
2,1,0.7583,0.7702
2,2,0.9334,0.6663
2,3,0.2456,0.6352
3,1,0.9280,0.6685
3,2,0.5595,0.6682
3,3,0.3355,0.6256
4,1,0.2317,0.8018
4,2,0.9356,0.6625
4,3,0.4699,0.6023
5,1,0.1697,0.7549
5,2,0.5329,0.6136
5,3,0.9349,0.6575
6,1,0.5879,0.6134
6,2,0.1299,0.6555
6,3,0.9354,0.6518
7,1,0.0892,0.6255
7,2,0.6142,0.6300
7,3,0.9329,0.6560
8,1,0.6087,0.6392
8,2,0.0760,0.6177
9,1,0.4984,0.6368
9,2,0.9449,0.6473
10,1,0.5106,0.6218
10,2,0.9416,0.6277
10,3,0.2268,0.5863
11,1,0.9419,0.6295
11,2,0.4545,0.8310
11,3,0.2701,0.5848
12,1,0.2735,0.5971
12,2,0.9408,0.6331
12,3,0.6267,0.7995
13,1,0.2446,0.6097
14,1,0.2124,0.6083
15,1,0.1993,0.6214
16,1,0.8446,0.8152
16,2,0.1405,0.6455
17,1,0.1343,0.6374
17,2,0.9419,0.6446
18,1,0.1496,0.6341
18,2,0.9411,0.6424
19,1,0.1485,0.6414
20,1,0.1153,0.6538
21,1,0.0628,0.6639
22,1,0.0349,0.6903
23,1,0.5771,0.6085
23,2,0.8381,0.8061
24,1,0.5213,0.6100
25,1,0.4605,0.6205
26,1,0.3799,0.6308
27,1,0.1851,0.6361
32,1,0.2186,0.8269
33,1,0.3677,0.8076
34,1,0.3677,0.8076
53,1,0.7447,0.7638
54,1,0.7447,0.7638
55,1,0.6697,0.7555
56,1,0.6003,0.7413
57,1,0.6003,0.7413
58,1,0.5654,0.7454
59,1,0.5654,0.7454
60,1,0.5776,0.7571
60,2,0.8675,0.8230
61,1,0.5776,0.7571
61,2,0.8675,0.8230
62,1,0.5655,0.7469
62,2,0.8768,0.8485
63,1,0.4762,0.7624
64,1,0.4762,0.7624
65,1,0.3428,0.7534
66,1,0.3428,0.7534
67,1,0.1983,0.7514
68,1,0.0520,0.7485
69,1,0.0520,0.7485
73,1,0.9474,0.6529
74,1,0.9474,0.6529
75,1,0.9460,0.6618
76,1,0.9437,0.6695
77,1,0.9437,0.6695
78,1,0.9427,0.6671
79,1,0.9427,0.6671
80,1,0.9421,0.6673
81,1,0.9421,0.6673
82,1,0.9439,0.6578
83,1,0.9439,0.6578
84,1,0.9443,0.6565
85,1,0.9443,0.6565
86,1,0.9443,0.6565
87,1,0.9454,0.6612
88,1,0.9454,0.6612
89,1,0.9450,0.6626
90,1,0.9450,0.6626
91,1,0.9463,0.6616
92,1,0.9463,0.6633
93,1,0.9463,0.6633
94,1,0.4274,0.8507
94,2,0.6143,0.8601
94,3,0.9446,0.6687
95,1,0.4295,0.8292
95,2,0.7457,0.8320
95,3,0.9470,0.6677
96,1,0.4295,0.8292
96,2,0.7457,0.8320
96,3,0.9470,0.6677
97,1,0.4315,0.8387
98,1,0.4381,0.8469
99,1,0.4381,0.8469
100,1,0.4570,0.8479
101,1,0.9446,0.6697
102,1,0.9446,0.6697
123,1,0.7199,0.8210
123,2,0.9209,0.7751
124,1,0.7199,0.8210
124,2,0.9209,0.7751
125,1,0.7556,0.8070
125,2,0.9236,0.7749
133,1,0.9425,0.6640
134,1,0.9429,0.6636
135,1,0.9426,0.6600
139,1,0.9481,0.6565
140,1,0.9488,0.6571
141,1,0.9487,0.6536
142,1,0.9469,0.6539
143,1,0.9467,0.6543
