frame,person,x,y
81,1,0.5454,0.8248
82,1,0.6056,0.8090
83,1,0.6926,0.8263
84,1,0.6926,0.8263
85,1,0.8243,0.8203
129,1,0.8523,0.8376
130,1,0.8203,0.8256
131,1,0.8034,0.8085
132,1,0.8247,0.8339
133,1,0.8303,0.8331
134,1,0.8279,0.8321
135,1,0.8279,0.8321
136,1,0.8174,0.8223
137,1,0.8174,0.8223
138,1,0.8066,0.8068
139,1,0.7893,0.8027
140,1,0.7893,0.8027
141,1,0.7759,0.8195
142,1,0.7759,0.8195
143,1,0.7929,0.8360
144,1,0.8237,0.8088
145,1,0.7991,0.8223
146,1,0.7713,0.8190
147,1,0.8105,0.7703
148,1,0.8105,0.7703
149,1,0.7666,0.8037
150,1,0.7666,0.8037
151,1,0.7404,0.7863
152,1,0.7404,0.7863
153,1,0.7798,0.7600
154,1,0.7798,0.7600
155,1,0.8053,0.7977
158,1,0.9297,0.8563
159,1,0.9297,0.8563
160,1,0.8228,0.7070
160,2,0.9503,0.8020
161,1,0.8464,0.7426
161,2,0.6617,0.6593
162,1,0.7936,0.7174
162,2,0.5906,0.6216
163,1,0.5108,0.6094
163,2,0.7308,0.6832
164,1,0.3824,0.5535
164,2,0.6361,0.6443
165,1,0.3269,0.5518
165,2,0.6196,0.6269
166,1,0.2686,0.5426
167,1,0.1456,0.5423
167,2,0.6246,0.6272
168,1,0.0923,0.5567
169,1,0.0923,0.5567
170,1,0.0762,0.7754
171,1,0.0793,0.8117
171,2,0.5733,0.6346
171,3,0.6249,0.8234
172,1,0.6354,0.8864
172,2,0.5261,0.6086
172,3,0.0791,0.8144
173,1,0.4811,0.5934
173,2,0.0755,0.8019
174,1,0.6166,0.9048
174,2,0.0753,0.8049
174,3,0.4339,0.5867
175,1,0.6069,0.8583
175,2,0.3954,0.5720
176,1,0.5986,0.7703
176,2,0.3708,0.5437
177,1,0.5851,0.7069
177,2,0.3755,0.5544
177,3,0.1403,0.7800
178,1,0.5483,0.6959
178,2,0.3973,0.5607
179,1,0.5483,0.6959
179,2,0.3973,0.5607
180,1,0.1383,0.7889
180,2,0.4454,0.6786
181,1,0.1293,0.7782
181,2,0.4380,0.6590
182,1,0.1268,0.7746
182,2,0.4428,0.6456
183,1,0.1142,0.7643
183,2,0.4471,0.6440
184,1,0.1142,0.7643
184,2,0.4471,0.6440
185,1,0.4280,0.6461
186,1,0.4280,0.6461
187,1,0.1275,0.7609
187,2,0.4391,0.6440
188,1,0.1275,0.7609
188,2,0.4391,0.6440
189,1,0.1269,0.7620
189,2,0.4098,0.6314
189,3,0.4964,0.5984
190,1,0.1185,0.7610
190,2,0.4478,0.6356
191,1,0.4666,0.6298
191,2,0.0921,0.7216
192,1,0.0677,0.6929
193,1,0.5108,0.6543
193,2,0.0643,0.6892
193,3,0.4328,0.6003
194,1,0.5920,0.6677
194,2,0.4233,0.5925
194,3,0.0704,0.7004
195,1,0.6024,0.6642
195,2,0.4184,0.5969
195,3,0.0783,0.7210
196,1,0.6024,0.6642
196,2,0.4184,0.5969
196,3,0.0783,0.7210
197,1,0.5991,0.6622
197,2,0.4234,0.5937
197,3,0.1032,0.7396
198,1,0.4066,0.5883
198,2,0.1010,0.7494
198,3,0.5946,0.6478
199,1,0.5959,0.6612
199,2,0.4320,0.5889
199,3,0.0932,0.7587
200,1,0.5992,0.6657
200,2,0.4623,0.5891
200,3,0.0904,0.7487
201,1,0.6087,0.6610
201,2,0.5058,0.5863
202,1,0.6055,0.6535
202,2,0.0993,0.7498
202,3,0.5260,0.5953
203,1,0.4995,0.5873
203,2,0.5989,0.6588
203,3,0.0881,0.7504
204,1,0.5846,0.6745
204,2,0.0574,0.6993
204,3,0.4744,0.5896
205,1,0.4661,0.5873
205,2,0.5814,0.6963
205,3,0.0577,0.6954
206,1,0.5843,0.6814
206,2,0.4592,0.5872
206,3,0.0586,0.6988
207,1,0.5910,0.6672
207,2,0.0620,0.7012
207,3,0.4537,0.5832
208,1,0.5910,0.6672
208,2,0.0620,0.7012
208,3,0.4537,0.5832
209,1,0.0614,0.7042
209,2,0.5783,0.6766
209,3,0.4348,0.5700
210,1,0.0636,0.7020
210,2,0.4072,0.5814
210,3,0.5769,0.6847
211,1,0.5972,0.6621
211,2,0.0616,0.7061
211,3,0.3895,0.5691
212,1,0.6013,0.6621
212,2,0.0633,0.7070
212,3,0.3927,0.5660
213,1,0.5932,0.6589
213,2,0.3942,0.5732
213,3,0.0620,0.7051
214,1,0.5932,0.6589
214,2,0.3942,0.5732
214,3,0.0620,0.7051
215,1,0.3965,0.5796
215,2,0.0657,0.7058
215,3,0.5839,0.6625
216,1,0.3965,0.5796
216,2,0.0657,0.7058
216,3,0.5839,0.6625
217,1,0.5846,0.6780
217,2,0.3948,0.5734
217,3,0.0621,0.7041
218,1,0.5673,0.7369
218,2,0.0624,0.7044
218,3,0.3928,0.5835
219,1,0.5631,0.7942
219,2,0.0634,0.7042
219,3,0.3926,0.5728
220,1,0.5704,0.8240
220,2,0.0620,0.7054
220,3,0.4014,0.5713
221,1,0.5680,0.7316
221,2,0.0603,0.7059
221,3,0.4156,0.5733
222,1,0.0611,0.7064
222,2,0.4143,0.5764
222,3,0.5836,0.6526
223,1,0.0611,0.7064
223,2,0.4143,0.5764
223,3,0.5836,0.6526
224,1,0.5662,0.7062
224,2,0.3855,0.5743
224,3,0.0626,0.7084
225,1,0.5659,0.7672
225,2,0.0652,0.7113
225,3,0.3756,0.5855
226,1,0.5683,0.8247
226,2,0.3642,0.5667
226,3,0.0649,0.7094
227,1,0.3906,0.5782
227,2,0.5722,0.7306
227,3,0.0634,0.7053
228,1,0.3906,0.5782
228,2,0.5722,0.7306
228,3,0.0634,0.7053
229,1,0.3846,0.5724
229,2,0.5886,0.6586
229,3,0.0629,0.7026
230,1,0.5964,0.6589
230,2,0.3893,0.5805
230,3,0.0617,0.7030
231,1,0.0599,0.7059
231,2,0.3951,0.5772
231,3,0.5879,0.6530
232,1,0.5793,0.6769
232,2,0.3801,0.5601
232,3,0.0592,0.7055
233,1,0.5637,0.7913
233,2,0.3939,0.5615
233,3,0.0614,0.7051
234,1,0.5679,0.8219
234,2,0.0611,0.7061
234,3,0.3842,0.5478
235,1,0.5703,0.8247
235,2,0.0614,0.7062
235,3,0.3901,0.5631
236,1,0.4207,0.5530
236,2,0.5788,0.6988
236,3,0.0604,0.7025
237,1,0.5845,0.6534
237,2,0.3995,0.5500
237,3,0.0606,0.7022
238,1,0.5887,0.6539
238,2,0.0602,0.7023
238,3,0.3911,0.5744
239,1,0.4129,0.5564
239,2,0.0605,0.7031
239,3,0.5827,0.6565
240,1,0.0610,0.7023
240,2,0.5672,0.6509
241,1,0.5411,0.6389
241,2,0.4144,0.5515
241,3,0.0609,0.7004
242,1,0.5411,0.6389
242,2,0.4144,0.5515
242,3,0.0609,0.7004
243,1,0.5016,0.6549
243,2,0.0608,0.7023
244,1,0.3999,0.5819
244,2,0.4926,0.6899
244,3,0.0615,0.7028
245,1,0.4945,0.7593
245,2,0.3863,0.5791
245,3,0.0633,0.7051
246,1,0.0627,0.7043
246,2,0.4011,0.5862
247,1,0.3862,0.5755
247,2,0.0620,0.7075
247,3,0.5005,0.6994
248,1,0.0624,0.7055
248,2,0.4039,0.5647
248,3,0.4986,0.6530
249,1,0.3742,0.5557
249,2,0.0617,0.7049
249,3,0.5151,0.6415
250,1,0.5188,0.6647
250,2,0.3488,0.5487
250,3,0.0628,0.7081
251,1,0.5202,0.6829
251,2,0.3047,0.5499
251,3,0.0619,0.7044
252,1,0.5202,0.6829
252,2,0.3047,0.5499
252,3,0.0619,0.7044
253,1,0.5070,0.6392
253,2,0.3329,0.5524
253,3,0.0629,0.7081
254,1,0.5070,0.6392
254,2,0.3329,0.5524
254,3,0.0629,0.7081
255,1,0.4883,0.6868
255,2,0.3210,0.5296
255,3,0.0631,0.7077
256,1,0.4883,0.6868
256,2,0.3210,0.5296
256,3,0.0631,0.7077
257,1,0.4745,0.7484
257,2,0.0635,0.7071
257,3,0.2989,0.4982
258,1,0.3012,0.5061
258,2,0.4793,0.7584
258,3,0.0627,0.7051
259,1,0.4826,0.7581
259,2,0.3035,0.5038
259,3,0.0621,0.7062
260,1,0.4799,0.7590
260,2,0.0609,0.7051
260,3,0.2959,0.5071
261,1,0.4741,0.7471
261,2,0.2916,0.5192
261,3,0.0625,0.7034
262,1,0.4741,0.7471
262,2,0.2916,0.5192
262,3,0.0625,0.7034
263,1,0.4803,0.6942
263,2,0.3186,0.5481
263,3,0.0632,0.7080
264,1,0.5037,0.6476
264,2,0.3517,0.5487
264,3,0.0636,0.7086
265,1,0.5089,0.6403
265,2,0.3439,0.5503
265,3,0.0629,0.7045
266,1,0.5132,0.6354
266,2,0.3458,0.5461
266,3,0.0640,0.7079
267,1,0.5172,0.6403
267,2,0.0627,0.7063
267,3,0.3462,0.5482
268,1,0.5234,0.6412
268,2,0.0622,0.7086
268,3,0.3435,0.5465
269,1,0.5187,0.6524
269,2,0.0614,0.7073
269,3,0.3452,0.5518
270,1,0.5148,0.6361
270,2,0.0608,0.7071
270,3,0.3459,0.5529
271,1,0.5068,0.6336
271,2,0.0629,0.7070
271,3,0.3463,0.5538
272,1,0.5068,0.6336
272,2,0.0629,0.7070
272,3,0.3463,0.5538
273,1,0.0658,0.7078
273,2,0.4971,0.6430
273,3,0.3463,0.5520
274,1,0.4890,0.6738
274,2,0.3479,0.5560
274,3,0.0640,0.7097
275,1,0.4834,0.6975
275,2,0.3456,0.5552
275,3,0.0643,0.7089
276,1,0.4810,0.7276
276,2,0.3486,0.5499
276,3,0.0647,0.7080
277,1,0.4810,0.7276
277,2,0.3486,0.5499
277,3,0.0647,0.7080
278,1,0.4827,0.7628
278,2,0.3430,0.5473
278,3,0.0653,0.7079
279,1,0.3527,0.6430
279,2,0.0697,0.7086
280,1,0.3527,0.6430
280,2,0.0697,0.7086
281,1,0.3490,0.6908
281,2,0.4837,0.7418
281,3,0.0641,0.7084
282,1,0.3490,0.6908
282,2,0.4837,0.7418
282,3,0.0641,0.7084
283,1,0.3361,0.7045
283,2,0.4854,0.7086
283,3,0.0659,0.7080
284,1,0.3361,0.7045
284,2,0.4854,0.7086
284,3,0.0659,0.7080
285,1,0.5044,0.6545
285,2,0.0643,0.7064
286,1,0.5044,0.6545
286,2,0.0643,0.7064
287,1,0.5190,0.6387
287,2,0.0610,0.7046
288,1,0.5192,0.6412
288,2,0.3465,0.6932
288,3,0.0620,0.7021
289,1,0.5244,0.6418
289,2,0.0611,0.7045
290,1,0.5348,0.6356
290,2,0.0616,0.7060
291,1,0.5466,0.6330
291,2,0.0605,0.7041
291,3,0.3431,0.6939
