frame,person,x,y
3,1,0.3482,0.8101
5,1,0.1840,0.7623
6,1,0.5810,0.7475
7,1,0.3918,0.7906
8,1,0.5483,0.7592
9,1,0.6839,0.7199
10,1,0.9002,0.7665
26,1,0.9250,0.7048
27,1,0.9264,0.6864
28,1,0.7296,0.6967
29,1,0.4837,0.7040
30,1,0.1859,0.7543
31,1,0.1859,0.7543
67,1,0.2265,0.7769
68,1,0.4389,0.7437
69,1,0.4389,0.7437
70,1,0.6648,0.7490
73,1,0.9064,0.7619
75,1,0.9282,0.7752
76,1,0.9338,0.7494
77,1,0.9338,0.7494
78,1,0.9245,0.8039
79,1,0.9184,0.7990
80,1,0.9274,0.7451
83,1,0.8501,0.8098
89,1,0.7441,0.7947
89,2,0.9495,0.6405
90,1,0.6373,0.7074
90,2,0.9103,0.6682
91,1,0.5374,0.6333
91,2,0.7531,0.6061
91,3,0.9126,0.5248
92,1,0.4912,0.5870
92,2,0.6154,0.5694
92,3,0.8505,0.4926
93,1,0.7811,0.4723
93,2,0.4615,0.5189
94,1,0.7811,0.4723
94,2,0.4615,0.5189
95,1,0.6667,0.4465
95,2,0.8829,0.5196
96,1,0.6667,0.4465
96,2,0.8829,0.5196
97,1,0.8180,0.4975
97,2,0.3898,0.4648
97,3,0.6126,0.4246
98,1,0.7561,0.4778
98,2,0.5521,0.4259
98,3,0.3611,0.4475
99,1,0.1874,0.4125
99,2,0.3458,0.4416
99,3,0.6960,0.4561
99,4,0.4951,0.4194
100,1,0.1874,0.4125
100,2,0.3458,0.4416
100,3,0.6960,0.4561
100,4,0.4951,0.4194
101,1,0.1054,0.4288
102,1,0.1001,0.4447
102,2,0.3196,0.3904
102,3,0.2063,0.4359
103,1,0.1001,0.4447
103,2,0.3196,0.3904
103,3,0.2063,0.4359
104,1,0.1709,0.4644
105,1,0.2413,0.4876
105,2,0.1163,0.4029
105,3,0.4624,0.4103
106,1,0.2413,0.4876
106,2,0.1163,0.4029
106,3,0.4624,0.4103
107,1,0.2413,0.4876
107,2,0.1163,0.4029
107,3,0.4624,0.4103
111,1,0.5208,0.4516
111,2,0.4085,0.5593
112,1,0.3565,0.5679
112,2,0.5770,0.4582
113,1,0.3565,0.5679
113,2,0.5770,0.4582
114,1,0.2137,0.5541
114,2,0.6359,0.4616
115,1,0.1489,0.5357
115,2,0.2340,0.4085
115,3,0.6402,0.4760
116,1,0.0790,0.5247
116,2,0.6194,0.4893
117,1,0.5968,0.5039
117,2,0.0428,0.5046
118,1,0.5574,0.5252
118,2,0.2397,0.4062
119,1,0.5174,0.5439
120,1,0.4552,0.5678
120,2,0.0597,0.4380
121,1,0.4341,0.5811
121,2,0.5215,0.6475
121,3,0.0919,0.4271
121,4,0.2410,0.4018
122,1,0.6335,0.6464
122,2,0.4632,0.6157
122,3,0.1359,0.4180
122,4,0.2436,0.4017
123,1,0.5912,0.5992
123,2,0.7198,0.6285
124,1,0.7689,0.5775
124,2,0.2591,0.4219
125,1,0.7689,0.5775
125,2,0.2591,0.4219
126,1,0.3742,0.4425
126,2,0.2369,0.4039
127,1,0.4299,0.4522
128,1,0.4947,0.4597
129,1,0.5558,0.4595
129,2,0.2391,0.3970
130,1,0.6261,0.4534
130,2,0.2385,0.3979
131,1,0.2377,0.3963
132,1,0.6956,0.4467
132,2,0.5658,0.4134
132,3,0.2386,0.3956
133,1,0.6956,0.4467
133,2,0.5658,0.4134
133,3,0.2386,0.3956
134,1,0.5988,0.4142
134,2,0.2378,0.3962
135,1,0.2396,0.3947
135,2,0.4076,0.4001
136,1,0.2407,0.3940
137,1,0.2407,0.3940
138,1,0.2407,0.3940
139,1,0.2170,0.3863
139,2,0.3447,0.4149
140,1,0.2472,0.4132
141,1,0.1484,0.4246
142,1,0.0751,0.4370
143,1,0.1506,0.4583
144,1,0.1506,0.4583
145,1,0.1644,0.4836
146,1,0.0577,0.5725
146,2,0.2049,0.5086
