frame,par1,par2,par3,par4,par5,par6,media
167,88.47,,,,,,88.47
168,117.29,,,,,,117.29
169,122.00,,,,,,122.00
170,134.38,,,,,,134.38
171,143.30,,,,,,143.30
172,157.88,,,,,,157.88
173,165.63,,,,,,165.63
174,189.24,,,,,,189.24
177,308.05,,,,,,308.05
180,355.15,,,,,,355.15
182,322.59,349.24,,75.54,,,249.12
183,122.08,356.99,,295.50,,,258.19
184,270.24,,,,,,270.24
185,270.24,,,,,,270.24
186,170.08,,,,,,170.08
187,167.06,,,,,,167.06
188,144.93,285.89,,171.06,,,200.63
189,108.22,,,,,,108.22
190,58.93,,,,,,58.93
192,200.54,,,,,,200.54
193,205.41,,,,,,205.41
194,202.18,,,,,,202.18
195,207.51,,,,,,207.51
196,217.38,,,,,,217.38
197,214.56,,,,,,214.56
198,208.45,,,,,,208.45
200,189.19,239.74,,51.48,,,160.14
201,186.73,237.55,,51.55,,,158.61
202,203.86,,,,,,203.86
203,198.51,,,,,,198.51
204,187.04,243.68,,56.68,,,162.47
205,194.66,,,,,,194.66
206,215.52,,,,,,215.52
207,241.96,,,,,,241.96
209,286.01,53.55,,238.00,,,192.52
210,84.59,238.43,,317.35,,,213.46
211,111.31,334.03,,229.18,,,224.84
212,111.31,334.03,,229.18,,,224.84
213,121.54,,,,,,121.54
214,115.11,318.59,,211.56,,,215.09
215,313.22,121.35,,202.90,,,212.49
216,203.97,122.22,,317.98,,,214.72
217,108.07,323.65,,225.30,,,219.01
218,108.07,323.65,,225.30,,,219.01
219,71.16,,,,,,71.16
220,325.82,55.03,,278.69,,,219.85
221,68.65,269.76,,328.58,,,222.33
222,68.65,269.76,,328.58,,,222.33
223,83.56,264.29,,335.17,,,227.67
224,86.95,336.48,,259.49,,,227.64
225,338.75,92.88,,254.29,,,228.64
226,341.14,,,,,,341.14
227,330.93,243.81,,99.51,,,224.75
228,224.16,328.56,,114.78,,,222.50
229,339.02,135.74,,212.08,,,228.95
230,343.14,137.09,,215.55,,,231.93
231,344.68,137.94,,216.80,,,233.14
232,131.03,340.37,,217.84,,,229.75
233,119.45,329.35,,217.69,,,222.16
234,216.49,123.59,,331.96,,,224.01
235,129.28,218.38,,338.48,,,228.71
236,321.48,135.14,,215.97,,,224.20
237,321.48,135.14,,215.97,,,224.20
238,321.48,135.14,,215.97,,,224.20
239,328.16,141.32,,222.52,,,230.67
240,325.04,112.96,,232.33,,,223.44
241,230.83,334.94,,111.76,,,225.84
242,121.54,337.01,,223.57,,,227.37
243,332.37,129.27,,211.75,,,224.46
244,125.05,322.35,,212.22,,,219.87
245,321.04,138.22,,203.73,,,221.00
246,160.31,324.85,,198.29,,,227.82
247,145.96,208.80,,325.09,,,226.62
248,128.50,214.35,,325.74,,,222.86
249,125.95,213.77,,329.68,,,223.13
250,134.18,211.19,,336.84,,,227.40
251,135.54,342.59,,214.23,,,230.79
252,219.44,338.44,,126.39,,,228.09
253,134.29,333.06,,211.95,,,226.43
254,132.44,323.43,,213.06,,,222.98
255,136.59,323.00,,219.01,,,226.20
256,326.99,153.47,,214.50,,,231.65
257,328.50,148.89,,216.59,,,231.33
258,235.13,124.92,,326.35,,,228.80
259,113.95,236.82,,331.77,,,227.51
260,124.13,335.77,,223.71,,,227.87
261,338.67,129.68,,216.69,,,228.35
262,232.73,114.37,,334.51,,,227.20
263,231.65,114.46,,334.60,,,226.90
264,324.48,,,,,,324.48
265,86.97,308.16,,232.55,,,209.23
266,71.77,229.88,,291.56,,,197.74
267,77.90,287.99,,221.97,,,195.95
268,282.59,,,,,,282.59
269,70.95,220.89,,275.95,,,189.26
270,94.93,276.65,,211.60,,,194.39
271,225.78,,,,,,225.78
272,220.74,,,,,,220.74
273,212.84,85.69,,280.66,,,193.06
274,224.40,279.85,,68.46,,,190.90
275,207.04,95.33,,291.04,,,197.80
276,116.53,292.29,,191.85,,,200.22
277,289.84,127.83,,178.56,,,198.74
278,146.03,293.42,,165.03,,,201.49
279,290.62,138.57,,167.17,,,198.79
280,115.77,285.34,,181.66,,,194.26
281,115.77,285.34,,181.66,,,194.26
282,275.08,,,,,,275.08
283,121.09,272.20,,177.06,,,190.12
284,262.96,,,,,,262.96
285,263.43,144.02,,168.35,,,191.93
286,145.70,168.65,,267.29,,,193.88
287,149.87,268.55,,168.56,,,195.66
288,146.70,269.79,,170.84,,,195.78
289,268.89,148.67,,166.43,,,194.66
290,142.73,263.86,,160.90,,,189.16
291,263.14,125.35,,172.33,,,186.94
292,116.09,266.98,,173.28,,,185.45
293,106.16,276.65,,185.73,,,189.51
294,103.62,282.56,,193.18,,,193.12
295,110.47,286.38,,188.21,,,195.02
296,111.04,287.77,,188.54,,,195.78
297,111.83,288.63,,189.52,,,196.66
298,291.82,114.34,,190.14,,,198.77
299,296.16,120.08,,189.26,,,201.83
300,294.17,119.69,,189.15,,,201.00
301,293.33,116.79,,190.06,,,200.06
302,291.66,112.19,,190.68,,,198.18
303,285.31,106.66,,189.57,,,193.85
304,189.50,282.10,,104.68,,,192.09
305,276.96,188.06,,101.90,,,188.97
306,98.43,273.45,,189.59,,,187.16
307,99.78,272.29,,189.89,,,187.32
308,101.97,268.22,,188.33,,,186.17
309,106.17,266.49,,190.37,,,187.68
310,115.86,267.81,,187.26,,,190.31
311,118.38,267.84,,186.87,,,191.03
312,193.31,109.13,,267.97,,,190.14
313,182.63,,,,,,182.63
314,182.73,,,,,,182.73
315,88.15,182.44,,268.81,,,179.80
316,264.91,,,,,,264.91
317,95.55,172.92,,268.46,,,178.98
318,92.02,270.97,,178.95,,,180.65
319,282.28,,,,,,282.28
320,290.25,,,,,,290.25
321,294.06,,,,,,294.06
322,112.11,293.42,,182.09,,,195.87
323,112.46,294.05,,181.94,,,196.15
324,297.37,,,,,,297.37
325,303.89,,,,,,303.89
326,312.12,132.05,,180.89,,,208.35
327,310.63,,,,,,310.63
328,128.52,306.78,,179.33,,,204.88
329,136.47,314.92,,179.91,,,210.43
330,327.97,,,,,,327.97
331,335.73,,,,,,335.73
332,336.59,,,,,,336.59
333,332.97,151.67,,181.43,,,222.02
334,177.40,,,,,,177.40
338,179.08,,,,,,179.08
341,180.92,,,,,,180.92
342,180.52,,,,,,180.52
343,180.25,,,,,,180.25
344,182.18,,,,,,182.18
345,317.89,135.96,,182.17,,,212.01
346,318.90,136.64,,182.28,,,212.61
347,318.90,136.64,,182.28,,,212.61
348,316.09,,,,,,316.09
349,316.59,,,,,,316.59
350,316.54,,,,,,316.54
354,318.48,,,,,,318.48
355,324.67,,,,,,324.67
356,324.51,,,,,,324.51
357,320.59,,,,,,320.59
358,321.79,,,,,,321.79
359,322.48,,,,,,322.48
360,318.67,,,,,,318.67
361,314.25,,,,,,314.25
362,307.76,125.68,,183.28,,,205.57
363,307.05,,,,,,307.05
364,305.78,124.12,,182.51,,,204.14
365,307.06,,,,,,307.06
366,305.83,,,,,,305.83
367,309.41,,,,,,309.41
368,313.31,,,,,,313.31
369,317.03,,,,,,317.03
370,316.08,138.13,,178.44,,,210.88
371,138.77,317.13,,178.91,,,211.60
372,316.07,138.11,,178.41,,,210.86
373,138.27,175.04,,313.27,,,208.86
374,314.44,174.06,,140.43,,,209.64
375,315.30,,,,,,315.30
377,316.10,171.42,,145.27,,,210.93
378,179.14,,,,,,179.14
382,314.95,,,,,,314.95
383,314.74,,,,,,314.74
384,138.91,316.11,,180.85,,,211.96
385,316.63,138.74,,180.78,,,212.05
386,316.04,137.94,,180.75,,,211.58
387,316.25,137.90,,181.01,,,211.72
388,316.22,138.00,,180.73,,,211.65
389,316.16,137.16,,181.67,,,211.66
390,318.00,,,,,,318.00
391,316.87,,,,,,316.87
392,180.25,,,,,,180.25
394,179.07,,,,,,179.07
396,179.32,,,,,,179.32
397,181.27,,,,,,181.27
398,180.64,,,,,,180.64
399,182.69,,,,,,182.69
401,181.76,,,,,,181.76
402,180.65,,,,,,180.65
403,181.54,,,,,,181.54
405,179.75,,,,,,179.75
408,179.59,,,,,,179.59
410,179.68,,,,,,179.68
411,179.52,,,,,,179.52
412,181.56,,,,,,181.56
413,178.70,,,,,,178.70
414,182.05,,,,,,182.05
415,179.79,,,,,,179.79
416,179.43,,,,,,179.43
418,179.89,,,,,,179.89
419,181.35,,,,,,181.35
420,180.17,,,,,,180.17
421,179.48,,,,,,179.48
422,319.12,,,,,,319.12
423,318.48,138.84,,180.02,,,212.45
424,317.93,,,,,,317.93
425,180.46,,,,,,180.46
426,318.57,,,,,,318.57
427,319.13,,,,,,319.13
430,318.75,,,,,,318.75
433,320.32,,,,,,320.32
434,182.06,,,,,,182.06
435,320.80,,,,,,320.80
437,319.44,,,,,,319.44
440,319.98,,,,,,319.98
446,180.38,,,,,,180.38
447,180.16,,,,,,180.16
462,328.90,,,,,,328.90
463,320.99,,,,,,320.99
464,316.90,,,,,,316.90
465,316.68,,,,,,316.68
466,315.77,,,,,,315.77
470,335.29,,,,,,335.29
471,335.29,,,,,,335.29
474,341.48,,,,,,341.48
476,341.67,,,,,,341.67
480,335.81,,,,,,335.81
481,330.32,,,,,,330.32
484,325.60,,,,,,325.60
485,325.60,,,,,,325.60
486,325.60,,,,,,325.60
488,238.01,328.01,,558.85,,,374.96
489,146.62,326.05,,179.87,,,217.51
490,318.31,,,,,,318.31
491,311.65,,,,,,311.65
492,312.16,,,,,,312.16
496,324.13,,,,,,324.13
497,321.66,143.02,,179.76,,,214.81
498,321.00,,,,,,321.00
500,319.07,141.65,,178.67,,,213.13
