frame,person,x,y
16,1,0.6632,0.8077
17,1,0.6632,0.8077
18,1,0.7732,0.7844
19,1,0.8834,0.7100
55,1,0.9434,0.6305
56,1,0.9434,0.6305
57,1,0.8771,0.5869
58,1,0.9148,0.7491
59,1,0.9148,0.7491
60,1,0.3480,0.8117
60,2,0.8476,0.7098
61,1,0.3698,0.6675
61,2,0.7948,0.6648
62,1,0.3698,0.6675
62,2,0.7948,0.6648
63,1,0.3698,0.6675
63,2,0.7948,0.6648
64,1,0.3873,0.5794
65,1,0.3873,0.5794
66,1,0.3784,0.5353
66,2,0.6802,0.5112
67,1,0.3853,0.5094
67,2,0.6168,0.5348
67,3,0.6943,0.4959
67,4,0.0371,0.5062
68,1,0.3853,0.5094
68,2,0.6168,0.5348
68,3,0.6943,0.4959
68,4,0.0371,0.5062
69,1,0.0574,0.4909
69,2,0.3725,0.4824
69,3,0.7023,0.4956
69,4,0.5800,0.5399
70,1,0.5438,0.5504
70,2,0.6964,0.4941
70,3,0.3772,0.4703
70,4,0.0651,0.4749
71,1,0.5438,0.5504
71,2,0.6964,0.4941
71,3,0.3772,0.4703
71,4,0.0651,0.4749
72,1,0.4965,0.5436
72,2,0.3684,0.4512
72,3,0.6868,0.4912
72,4,0.0667,0.4753
73,1,0.4965,0.5436
73,2,0.3684,0.4512
73,3,0.6868,0.4912
73,4,0.0667,0.4753
74,1,0.6904,0.4908
74,2,0.4655,0.5556
74,3,0.0687,0.4772
75,1,0.3996,0.5521
75,2,0.6935,0.4864
75,3,0.0696,0.4790
76,1,0.6945,0.4876
76,2,0.0689,0.4783
77,1,0.6945,0.4876
77,2,0.0689,0.4783
78,1,0.6945,0.4876
78,2,0.0689,0.4783
79,1,0.3175,0.5870
79,2,0.6956,0.4860
79,3,0.0670,0.4768
80,1,0.3060,0.6177
80,2,0.6943,0.4870
80,3,0.0656,0.4769
81,1,0.2606,0.6211
81,2,0.6932,0.4872
81,3,0.0669,0.4802
82,1,0.1077,0.4910
82,2,0.2685,0.6228
82,3,0.6903,0.4848
83,1,0.1077,0.4910
83,2,0.2685,0.6228
83,3,0.6903,0.4848
84,1,0.1077,0.4910
84,2,0.2685,0.6228
84,3,0.6903,0.4848
85,1,0.2775,0.6279
