frame,person,x,y
0,1,0.0863,0.5399
1,1,0.2090,0.5849
1,2,0.6852,0.3786
2,1,0.1238,0.4377
2,2,0.6880,0.3791
3,1,0.1238,0.4377
3,2,0.6880,0.3791
4,1,0.1238,0.4377
4,2,0.6880,0.3791
5,1,0.2095,0.4831
5,2,0.6884,0.3787
6,1,0.2848,0.5532
6,2,0.6887,0.3773
7,1,0.3920,0.6187
7,2,0.6882,0.3797
8,1,0.5681,0.6635
8,2,0.6903,0.3786
9,1,0.7959,0.7802
9,2,0.1052,0.3802
10,1,0.6882,0.3762
11,1,0.1124,0.3902
11,2,0.6896,0.3807
12,1,0.1124,0.3902
12,2,0.6896,0.3807
13,1,0.8011,0.7729
13,2,0.1124,0.3844
13,3,0.6880,0.3812
14,1,0.6717,0.6269
15,1,0.6717,0.6269
16,1,0.6506,0.6775
16,2,0.1084,0.3798
17,1,0.6496,0.6580
18,1,0.6496,0.6580
19,1,0.6599,0.7131
20,1,0.6599,0.7131
21,1,0.6538,0.7138
22,1,0.6547,0.6942
23,1,0.6547,0.6942
24,1,0.6526,0.6792
25,1,0.6575,0.6873
26,1,0.6575,0.6873
27,1,0.6538,0.6620
27,2,0.9714,0.5581
28,1,0.6538,0.6620
28,2,0.9714,0.5581
29,1,0.6487,0.6520
29,2,0.9646,0.6132
30,1,0.6487,0.6520
30,2,0.9646,0.6132
31,1,0.6815,0.6530
31,2,0.9624,0.6450
32,1,0.6475,0.6505
32,2,0.9670,0.6425
32,3,0.1089,0.3830
33,1,0.6475,0.6505
33,2,0.9670,0.6425
33,3,0.1089,0.3830
34,1,0.9500,0.7184
34,2,0.6023,0.6653
34,3,0.1111,0.3918
35,1,0.9500,0.7184
35,2,0.6023,0.6653
35,3,0.1111,0.3918
36,1,0.9500,0.7184
36,2,0.6023,0.6653
36,3,0.1111,0.3918
37,1,0.6049,0.6673
37,2,0.8933,0.7604
38,1,0.6041,0.6678
38,2,0.8501,0.8238
38,3,0.1074,0.3850
39,1,0.6041,0.6678
39,2,0.8501,0.8238
39,3,0.1074,0.3850
40,1,0.1105,0.3912
41,1,0.1105,0.3912
43,1,0.6974,0.6805
44,1,0.6974,0.6805
45,1,0.7006,0.6728
46,1,0.7018,0.6908
47,1,0.7018,0.6908
48,1,0.6975,0.6879
49,1,0.6975,0.6879
50,1,0.6987,0.6980
50,2,0.3408,0.8472
51,1,0.7120,0.7119
51,2,0.4051,0.8478
52,1,0.7954,0.7334
53,1,0.7954,0.7334
54,1,0.8506,0.7629
55,1,0.8457,0.7713
56,1,0.8457,0.7713
57,1,0.8464,0.7785
58,1,0.8516,0.7835
59,1,0.8593,0.7816
60,1,0.8474,0.7761
61,1,0.8474,0.7761
62,1,0.8770,0.8356
62,2,0.5752,0.8001
63,1,0.8770,0.8356
63,2,0.5752,0.8001
64,1,0.6383,0.7701
64,2,0.1114,0.4045
65,1,0.6383,0.7701
65,2,0.1114,0.4045
66,1,0.6901,0.7022
67,1,0.6901,0.7022
68,1,0.8866,0.6759
73,1,0.6899,0.8639
74,1,0.6899,0.8639
76,1,0.6187,0.7877
76,2,0.6887,0.3700
80,1,0.6561,0.7362
84,1,0.6560,0.7960
85,1,0.6657,0.7999
87,1,0.6571,0.7888
88,1,0.6571,0.7888
89,1,0.6682,0.8123
99,1,0.5195,0.8017
100,1,0.4914,0.7549
101,1,0.4914,0.7549
102,1,0.3824,0.7790
103,1,0.4131,0.8212
104,1,0.4113,0.8263
105,1,0.4113,0.8263
106,1,0.4113,0.8263
107,1,0.4251,0.7891
108,1,0.4349,0.8400
108,2,0.1336,0.4081
109,1,0.4348,0.7823
109,2,0.1333,0.4074
110,1,0.4439,0.7828
110,2,0.1329,0.4055
111,1,0.4334,0.7763
111,2,0.1326,0.4092
112,1,0.4225,0.7683
112,2,0.1328,0.4085
113,1,0.4271,0.7864
113,2,0.1328,0.4085
114,1,0.1330,0.4084
115,1,0.4465,0.7905
115,2,0.1328,0.4087
116,1,0.4385,0.7499
117,1,0.4224,0.7932
118,1,0.4224,0.7932
119,1,0.3878,0.7968
119,2,0.1344,0.4117
120,1,0.3878,0.7968
120,2,0.1344,0.4117
121,1,0.3401,0.7718
122,1,0.3614,0.7929
123,1,0.4208,0.7992
124,1,0.4281,0.7796
125,1,0.4044,0.7748
126,1,0.3866,0.7933
126,2,0.1341,0.4098
127,1,0.3866,0.7933
127,2,0.1341,0.4098
128,1,0.3824,0.7863
128,2,0.1339,0.4106
129,1,0.3852,0.7848
129,2,0.1347,0.4100
130,1,0.3852,0.7848
130,2,0.1347,0.4100
131,1,0.3947,0.7813
131,2,0.1341,0.4109
132,1,0.3947,0.7813
132,2,0.1341,0.4109
133,1,0.3992,0.7719
134,1,0.3992,0.7719
135,1,0.3992,0.7719
136,1,0.3830,0.7877
136,2,0.1347,0.4117
137,1,0.3830,0.7877
137,2,0.1347,0.4117
138,1,0.3830,0.7877
138,2,0.1347,0.4117
139,1,0.3832,0.7914
139,2,0.1345,0.4105
140,1,0.3832,0.7914
140,2,0.1345,0.4105
141,1,0.3861,0.7860
141,2,0.1345,0.4097
142,1,0.3908,0.7725
142,2,0.1344,0.4099
143,1,0.3908,0.7725
143,2,0.1344,0.4099
144,1,0.3911,0.7767
144,2,0.1344,0.4098
145,1,0.3911,0.7767
145,2,0.1344,0.4098
146,1,0.3911,0.7737
