frame,person,x,y
2,1,0.8660,0.6774
3,1,0.8662,0.6790
4,1,0.8671,0.6589
5,1,0.8660,0.6765
6,1,0.8693,0.6776
7,1,0.8703,0.6810
7,2,0.6247,0.8180
14,1,0.8803,0.6820
15,1,0.8846,0.6740
18,1,0.8336,0.6788
19,1,0.8008,0.6726
21,1,0.9475,0.7228
22,1,0.7681,0.6335
23,1,0.7771,0.5876
25,1,0.8016,0.5570
26,1,0.8048,0.5871
27,1,0.7972,0.6096
28,1,0.7977,0.5942
29,1,0.7737,0.7451
30,1,0.8515,0.8011
58,1,0.1629,0.8095
59,1,0.1677,0.7999
60,1,0.1677,0.7999
64,1,0.9398,0.7402
65,1,0.9398,0.7402
66,1,0.8717,0.7384
67,1,0.8816,0.7254
68,1,0.8891,0.7266
75,1,0.9395,0.7634
76,1,0.4375,0.8010
77,1,0.3804,0.7132
78,1,0.2815,0.7231
78,2,0.9386,0.7633
79,1,0.2815,0.7231
79,2,0.9386,0.7633
81,1,0.9361,0.7682
82,1,0.9385,0.7591
83,1,0.9392,0.7571
84,1,0.9392,0.7571
85,1,0.9365,0.7561
86,1,0.9420,0.7523
87,1,0.9420,0.7523
88,1,0.9382,0.7604
89,1,0.9418,0.7583
90,1,0.9392,0.7584
91,1,0.9392,0.7584
92,1,0.9394,0.7586
93,1,0.9381,0.7636
94,1,0.9379,0.7597
95,1,0.9379,0.7597
97,1,0.7584,0.7781
98,1,0.7584,0.7781
101,1,0.9353,0.7718
102,1,0.9495,0.7489
103,1,0.6224,0.7922
109,1,0.9341,0.7507
109,2,0.7308,0.7627
110,1,0.9341,0.7507
110,2,0.7308,0.7627
111,1,0.9341,0.7507
111,2,0.7308,0.7627
112,1,0.6068,0.7835
113,1,0.6068,0.7835
114,1,0.6068,0.7835
115,1,0.5780,0.6927
116,1,0.5780,0.6927
117,1,0.6397,0.7223
118,1,0.6185,0.7138
119,1,0.6114,0.7090
120,1,0.6114,0.7090
121,1,0.6023,0.6936
121,2,0.9309,0.7504
122,1,0.6033,0.6893
122,2,0.8691,0.7807
123,1,0.6033,0.6893
123,2,0.8691,0.7807
124,1,0.6144,0.6757
124,2,0.7274,0.7129
125,1,0.6027,0.6961
126,1,0.6166,0.6798
126,2,0.4210,0.6679
127,1,0.6166,0.6798
127,2,0.4210,0.6679
128,1,0.6416,0.6970
128,2,0.2329,0.5795
129,1,0.6346,0.7049
129,2,0.0587,0.5430
130,1,0.6308,0.6880
131,1,0.6308,0.6880
132,1,0.5829,0.6603
133,1,0.5996,0.6097
134,1,0.5996,0.6097
135,1,0.5996,0.6097
136,1,0.6295,0.4758
137,1,0.6295,0.4758
138,1,0.6141,0.4268
139,1,0.6164,0.3901
140,1,0.6164,0.3901
141,1,0.5938,0.3709
142,1,0.5769,0.3456
143,1,0.5769,0.3456
144,1,0.5516,0.3186
145,1,0.5317,0.3090
146,1,0.5317,0.3090
147,1,0.5251,0.3129
148,1,0.5235,0.3151
149,1,0.5223,0.3148
150,1,0.5223,0.3148
151,1,0.5223,0.3161
152,1,0.5223,0.3163
153,1,0.5222,0.3157
154,1,0.5222,0.3157
155,1,0.5226,0.3154
156,1,0.5226,0.3154
157,1,0.5227,0.3151
158,1,0.5227,0.3151
159,1,0.5225,0.3180
160,1,0.5227,0.3196
161,1,0.5223,0.3201
162,1,0.5223,0.3201
