frame,par1,par2,par3,par4,par5,par6,media
39,148.46,197.78,222.83,51.49,371.15,420.57,235.38
40,201.65,412.72,334.9,211.15,134.42,79.88,229.12
41,201.65,412.72,334.9,211.15,134.42,79.88,229.12
42,88.48,123.23,276.18,204.27,193.29,396.9,213.725
43,88.48,123.23,276.18,204.27,193.29,396.9,213.725
44,189.59,212.84,,399.32,,,267.25
45,400.39,,,,,,400.39
46,244.68,165.18,,402.32,,,270.726666666667
47,244.68,165.18,,402.32,,,270.726666666667
48,281.06,133.93,,400.85,,,271.946666666667
49,281.06,133.93,,400.85,,,271.946666666667
50,86.76,268.23,,335.05,,,230.013333333333
51,86.76,268.23,,335.05,,,230.013333333333
52,269.08,,,,,,269.08
53,262.48,,,,,,262.48
54,299.24,,,,,,299.24
55,332.4,,,,,,332.4
56,361.51,207.19,,154.67,,,241.123333333333
57,234.8,121.05,,355.77,,,237.206666666667
58,290.54,,,,,,290.54
59,312.57,,,,,,312.57
60,312.57,,,,,,312.57
61,163,,,,,,163,00
62,391.22,226.16,,165.06,,,260.813333333333
63,138.03,,,,,,138.03
64,107.09,,,,,,107.09
65,107.09,,,,,,107.09
68,195.84,,,,,,195.84
69,195.84,,,,,,195.84
70,248.54,,,,,,248.54
71,268.42,486.72,,232.39,,,329.176666666667
72,462.34,281.49,,192.38,,,312.07
73,438.74,283.97,,167.01,,,296.573333333333
74,414.55,280.67,,145.73,,,280.316666666667
75,386.51,280.74,,118.16,,,261.803333333333
76,386.51,280.74,,118.16,,,261.803333333333
78,277.88,,,,,,277.88
79,229.75,,,,,,229.75
80,229.75,,,,,,229.75
81,244.74,118.37,108.87,134.64,333.48,198.88,189.83
82,244.74,118.37,108.87,134.64,333.48,198.88,189.83
83,185.82,378.75,,195.5,,,253.356666666667
84,174.5,239.98,,413.43,,,275.97
85,275.73,164.55,152.75,440.24,125.74,316.34,245.891666666667
86,154.83,468.05,359.56,313.36,204.74,110,268.423333333333
87,140.65,471.33,381.37,331.51,241.06,91.25,276.195
88,132.55,472.12,,342.26,,,315.643333333333
89,470.18,137.83,,335.83,,,314.613333333333
90,141.57,470.39,419.16,332.62,280.56,52.63,282.821666666667
91,130.8,,,,,,130.8
92,135.81,,,,,,135.81
93,135.81,,,,,,135.81
94,143.88,,,,,,143.88
95,143.88,,,,,,143.88
96,140.72,,,,,,140.72
97,140.72,,,,,,140.72
99,122.23,,,,,,122.23
100,118.81,,,,,,118.81
101,297.82,106.8,398.73,199.83,100.95,300.12,234.041666666667
102,297.82,106.8,398.73,199.83,100.95,300.12,234.041666666667
103,268.06,335.36,,67.5,,,223.64
104,268.06,335.36,,67.5,,,223.64
105,168.64,264.76,,432.31,,,288.57
106,242.96,,,,,,242.96
107,278.79,,,,,,278.79
108,302.12,,,,,,302.12
109,320.56,,,,,,320.56
110,376.59,,,,,,376.59
111,376.59,,,,,,376.59
114,174.77,546.99,,376.27,,,366.01
115,174.77,546.99,,376.27,,,366.01
116,481.12,104.91,,383.09,,,323.04
117,481.12,104.91,,383.09,,,323.04
118,419.38,,,,,,419.38
119,398.62,,,,,,398.62
120,398.62,,,,,,398.62
121,364.69,,,,,,364.69
122,353.1,396.73,,47.72,,,265.85
123,353.1,396.73,,47.72,,,265.85
124,367.04,,,,,,367.04
125,367.04,,,,,,367.04
126,350.77,,,,,,350.77
127,339.01,,,,,,339.01
128,339.01,,,,,,339.01
129,335.68,,,,,,335.68
130,335.68,,,,,,335.68
131,342,,,,,,342,00
133,389.54,,,,,,389.54
134,413.07,,,,,,413.07
135,470.74,,,,,,470.74
136,528.91,,,,,,528.91
137,528.91,,,,,,528.91
138,399.07,,,,,,399.07
139,399.07,,,,,,399.07
140,410.14,,,,,,410.14
141,420.73,,,,,,420.73
142,420.73,,,,,,420.73
144,418.32,,,,,,418.32
145,421.88,,,,,,421.88
146,424.64,,,,,,424.64
147,425.49,,,,,,425.49
156,401.78,,,,,,401.78
157,401.78,,,,,,401.78
158,399.93,,,,,,399.93
167,398.4,,,,,,398.4
168,401.66,,,,,,401.66
169,401.66,,,,,,401.66
177,406.69,,,,,,406.69
178,403.55,,,,,,403.55
179,403.55,,,,,,403.55
188,347.17,,,,,,347.17
189,347.17,,,,,,347.17
191,337.74,,,,,,337.74
192,341.98,,,,,,341.98
193,341.98,,,,,,341.98
194,342.49,,,,,,342.49
195,342.77,,,,,,342.77
196,342.77,,,,,,342.77
197,348.67,,,,,,348.67
199,355,,,,,,355,00
200,346.81,,,,,,346.81
296,359.37,,,,,,359.37
299,343.84,,,,,,343.84
300,343.84,,,,,,343.84
348,324.69,,,,,,324.69
349,324.69,,,,,,324.69
350,315.55,,,,,,315.55
351,319.75,,,,,,319.75
352,314.69,,,,,,314.69
353,302.66,,,,,,302.66
354,302.66,,,,,,302.66
356,426.98,,,,,,426.98
363,206.63,,,,,,206.63
364,206.63,,,,,,206.63
367,186.93,,,,,,186.93
368,186.93,,,,,,186.93
369,173.33,,,,,,173.33
370,173.33,,,,,,173.33
378,284.58,,,,,,284.58
379,280.83,,,,,,280.83
380,280.83,,,,,,280.83
381,272.24,,,,,,272.24
382,272.24,,,,,,272.24
383,264.37,,,,,,264.37
384,287.78,,,,,,287.78
385,287.78,,,,,,287.78
386,273.02,,,,,,273.02
387,285.1,,,,,,285.1
411,137.69,,,,,,137.69
412,114.82,,,,,,114.82
413,114.82,,,,,,114.82
414,99.24,,,,,,99.24
415,96.72,,,,,,96.72
416,96.72,,,,,,96.72
420,125.44,,,,,,125.44
421,150.74,,,,,,150.74
422,159.27,,,,,,159.27
423,159.27,,,,,,159.27
424,184.96,,,,,,184.96
425,208.34,,,,,,208.34
426,218.4,,,,,,218.4
427,218.4,,,,,,218.4
429,243.3,,,,,,243.3
430,237.44,,,,,,237.44
431,242.25,,,,,,242.25
432,242.25,,,,,,242.25
433,239.34,,,,,,239.34
434,239.34,,,,,,239.34
435,260.9,,,,,,260.9
436,260.9,,,,,,260.9
439,243.11,,,,,,243.11
440,260.9,,,,,,260.9
441,260.9,,,,,,260.9
442,267.88,,,,,,267.88
443,270.09,,,,,,270.09
444,284.19,,,,,,284.19
445,296.32,,,,,,296.32
453,242.67,,,,,,242.67
454,243.03,,,,,,243.03
455,243.03,,,,,,243.03
456,241.9,,,,,,241.9
457,241.9,,,,,,241.9
458,241.36,,,,,,241.36
459,241.36,,,,,,241.36
460,242.69,,,,,,242.69
461,242.51,,,,,,242.51
462,243.29,,,,,,243.29
463,240.07,,,,,,240.07
464,240.07,,,,,,240.07
465,234.51,,,,,,234.51
466,234.51,,,,,,234.51
467,232.36,,,,,,232.36
468,232.36,,,,,,232.36
469,228.51,,,,,,228.51
470,227.72,,,,,,227.72
471,226.67,,,,,,226.67
472,224.37,,,,,,224.37
473,224.37,,,,,,224.37
474,223.1,,,,,,223.1
475,222.04,,,,,,222.04
476,222.04,,,,,,222.04
477,222.04,,,,,,222.04
478,227.18,,,,,,227.18
479,227.65,,,,,,227.65
480,227.65,,,,,,227.65
482,234.92,,,,,,234.92
483,235.01,,,,,,235.01
484,232.46,,,,,,232.46
485,232.49,,,,,,232.49
486,227.91,,,,,,227.91
487,228.85,,,,,,228.85
