frame,person,x,y
4,1,0.5915,0.7646
5,1,0.5649,0.7376
6,1,0.5543,0.7539
7,1,0.5508,0.7855
8,1,0.5508,0.7855
10,1,0.5474,0.7376
11,1,0.5500,0.7524
12,1,0.5470,0.7573
13,1,0.5539,0.7480
13,2,0.8854,0.7949
14,1,0.5581,0.7373
14,2,0.8786,0.7938
15,1,0.5581,0.7373
15,2,0.8786,0.7938
16,1,0.5568,0.7479
16,2,0.8734,0.7950
17,1,0.5571,0.7475
18,1,0.5661,0.7857
18,2,0.8700,0.7961
19,1,0.5767,0.7805
19,2,0.8704,0.7748
20,1,0.5698,0.7771
20,2,0.8694,0.7746
21,1,0.8660,0.7788
24,1,0.8883,0.8380
25,1,0.9193,0.8352
25,2,0.5824,0.5914
26,1,0.5783,0.5910
27,1,0.5790,0.5899
28,1,0.5797,0.5909
29,1,0.5789,0.5915
30,1,0.5785,0.5919
31,1,0.5775,0.5949
32,1,0.9340,0.7720
32,2,0.5782,0.5945
33,1,0.5781,0.5950
34,1,0.5781,0.5950
35,1,0.5779,0.5927
36,1,0.5779,0.5927
38,1,0.5720,0.5804
39,1,0.1873,0.8022
39,2,0.9257,0.8040
40,1,0.7851,0.8031
41,1,0.5763,0.4775
41,2,0.8095,0.7931
41,3,0.2111,0.8011
42,1,0.5763,0.4775
42,2,0.8095,0.7931
42,3,0.2111,0.8011
43,1,0.8849,0.7349
43,2,0.6214,0.4855
44,1,0.8849,0.7349
44,2,0.6214,0.4855
45,1,0.9068,0.7489
45,2,0.8073,0.5260
47,1,0.9046,0.7425
48,1,0.9058,0.7021
49,1,0.9045,0.6975
50,1,0.9047,0.7359
51,1,0.9047,0.7359
52,1,0.9050,0.7589
53,1,0.8697,0.7621
54,1,0.8681,0.7092
54,2,0.3382,0.8370
55,1,0.8681,0.7092
55,2,0.3382,0.8370
56,1,0.8638,0.7562
56,2,0.3074,0.8270
57,1,0.8679,0.7490
58,1,0.8679,0.7490
59,1,0.8690,0.7353
59,2,0.3115,0.8290
60,1,0.8634,0.7204
60,2,0.3592,0.8441
61,1,0.8760,0.7633
61,2,0.3134,0.8242
62,1,0.8760,0.7633
62,2,0.3134,0.8242
63,1,0.8846,0.7721
64,1,0.8984,0.7771
64,2,0.3112,0.8347
65,1,0.3221,0.7917
65,2,0.9206,0.7549
66,1,0.9225,0.7618
66,2,0.3501,0.7786
67,1,0.9200,0.7633
68,1,0.3094,0.8155
68,2,0.8773,0.7480
69,1,0.3430,0.8110
69,2,0.8945,0.7717
70,1,0.3361,0.8154
71,1,0.3101,0.8479
72,1,0.3328,0.8395
74,1,0.3223,0.8201
75,1,0.3114,0.8168
76,1,0.3114,0.8168
77,1,0.8622,0.8255
77,2,0.3578,0.8210
78,1,0.3159,0.8349
