frame,person,x,y
15,1,0.0906,0.6961
16,1,0.4117,0.7228
17,1,0.4117,0.7228
18,1,0.6905,0.7450
19,1,0.6905,0.7450
20,1,0.6905,0.7450
21,1,0.1330,0.6549
21,2,0.8735,0.7635
22,1,0.8554,0.7751
22,2,0.2932,0.7293
23,1,0.8554,0.7751
23,2,0.2932,0.7293
24,1,0.7458,0.7580
25,1,0.7458,0.7580
26,1,0.7458,0.7580
27,1,0.7780,0.7452
28,1,0.8408,0.6929
29,1,0.8633,0.6165
29,2,0.5288,0.7779
30,1,0.8633,0.6165
30,2,0.5288,0.7779
31,1,0.5843,0.7693
31,2,0.9272,0.6247
32,1,0.4845,0.7286
32,2,0.9357,0.6069
33,1,0.4845,0.7286
33,2,0.9357,0.6069
34,1,0.9057,0.5991
34,2,0.3899,0.6646
35,1,0.8796,0.6218
36,1,0.8796,0.6218
37,1,0.8796,0.6218
38,1,0.9002,0.6409
38,2,0.0853,0.5595
38,3,0.4898,0.7611
39,1,0.9107,0.6237
40,1,0.9107,0.6237
41,1,0.9107,0.6237
44,1,0.6424,0.7752
44,2,0.9053,0.6057
45,1,0.8985,0.6030
45,2,0.5955,0.7586
46,1,0.8985,0.6030
46,2,0.5955,0.7586
47,1,0.8985,0.6030
47,2,0.5955,0.7586
48,1,0.4235,0.7210
48,2,0.9032,0.5957
49,1,0.4235,0.7210
49,2,0.9032,0.5957
50,1,0.4092,0.7651
50,2,0.8840,0.6337
51,1,0.4092,0.7651
51,2,0.8840,0.6337
52,1,0.4953,0.7508
52,2,0.8754,0.6667
53,1,0.4953,0.7508
53,2,0.8754,0.6667
54,1,0.5581,0.7604
54,2,0.9202,0.6312
55,1,0.5581,0.7604
55,2,0.9202,0.6312
56,1,0.5331,0.7482
56,2,0.9389,0.6283
57,1,0.5286,0.7479
57,2,0.9365,0.6546
58,1,0.5216,0.7482
58,2,0.9386,0.6322
59,1,0.5216,0.7482
59,2,0.9386,0.6322
60,1,0.5208,0.7471
60,2,0.9361,0.6351
61,1,0.5208,0.7471
61,2,0.9361,0.6351
62,1,0.5150,0.7589
62,2,0.9344,0.6376
63,1,0.5164,0.7614
63,2,0.9335,0.6383
64,1,0.5167,0.7593
64,2,0.9366,0.6392
65,1,0.5167,0.7593
65,2,0.9366,0.6392
66,1,0.5172,0.7588
66,2,0.9378,0.6388
67,1,0.5172,0.7588
67,2,0.9378,0.6388
68,1,0.5166,0.7608
68,2,0.9338,0.6398
69,1,0.5184,0.7627
69,2,0.9425,0.6375
70,1,0.5184,0.7627
70,2,0.9425,0.6375
71,1,0.5184,0.7627
71,2,0.9425,0.6375
72,1,0.5213,0.7603
72,2,0.9392,0.6463
73,1,0.5220,0.7597
73,2,0.9338,0.6398
74,1,0.5227,0.7595
74,2,0.9358,0.6396
75,1,0.5227,0.7595
75,2,0.9358,0.6396
76,1,0.5221,0.7606
76,2,0.9349,0.6334
77,1,0.5210,0.7583
77,2,0.9327,0.6319
78,1,0.5210,0.7583
78,2,0.9327,0.6319
79,1,0.5220,0.7601
79,2,0.9347,0.6401
80,1,0.5220,0.7601
80,2,0.9347,0.6401
81,1,0.5236,0.7554
81,2,0.9334,0.6390
82,1,0.5219,0.7597
82,2,0.9343,0.6376
83,1,0.5219,0.7597
83,2,0.9343,0.6376
84,1,0.5282,0.7619
84,2,0.9364,0.6416
85,1,0.5282,0.7619
85,2,0.9364,0.6416
86,1,0.5732,0.7628
86,2,0.9378,0.6636
87,1,0.5742,0.7728
87,2,0.9369,0.6413
88,1,0.5369,0.7851
88,2,0.9383,0.6419
89,1,0.5369,0.7851
89,2,0.9383,0.6419
90,1,0.6338,0.7685
90,2,0.9386,0.6619
91,1,0.6286,0.7826
91,2,0.9386,0.6400
92,1,0.6171,0.7632
92,2,0.9383,0.6614
93,1,0.6201,0.7497
93,2,0.9380,0.6623
94,1,0.6156,0.7493
94,2,0.9383,0.6392
95,1,0.6094,0.7691
95,2,0.9365,0.6422
96,1,0.6094,0.7691
96,2,0.9365,0.6422
97,1,0.6179,0.7624
97,2,0.9360,0.6647
98,1,0.6210,0.7634
98,2,0.9364,0.6821
99,1,0.6210,0.7634
99,2,0.9364,0.6821
100,1,0.6183,0.7736
100,2,0.9387,0.6660
101,1,0.6166,0.7773
101,2,0.9403,0.6650
102,1,0.6045,0.7687
102,2,0.9389,0.6435
103,1,0.6008,0.7719
103,2,0.9388,0.6422
104,1,0.6029,0.7712
104,2,0.9384,0.6418
105,1,0.6058,0.7674
105,2,0.9382,0.6424
106,1,0.6058,0.7674
106,2,0.9382,0.6424
107,1,0.6075,0.7666
107,2,0.9365,0.6412
108,1,0.6108,0.7674
108,2,0.9371,0.6408
109,1,0.6093,0.7812
109,2,0.9372,0.6414
110,1,0.6105,0.7680
110,2,0.9364,0.6423
111,1,0.6127,0.7660
111,2,0.9360,0.6422
112,1,0.6127,0.7660
112,2,0.9360,0.6422
113,1,0.6113,0.7696
113,2,0.9373,0.6415
114,1,0.6113,0.7696
114,2,0.9373,0.6415
115,1,0.6118,0.7669
115,2,0.9369,0.6417
116,1,0.6115,0.7670
116,2,0.9354,0.6433
117,1,0.6115,0.7670
117,2,0.9354,0.6433
118,1,0.6121,0.7664
118,2,0.9365,0.6411
