frame,person,x,y
7,1,0.7906,0.7816
8,1,0.5503,0.8132
9,1,0.5698,0.8180
10,1,0.5596,0.7876
11,1,0.5465,0.8018
12,1,0.5735,0.7965
13,1,0.5773,0.7992
14,1,0.5802,0.8025
15,1,0.5802,0.8025
16,1,0.5942,0.7928
17,1,0.5942,0.7928
18,1,0.5592,0.8123
19,1,0.5592,0.8123
20,1,0.5660,0.8205
21,1,0.5804,0.8042
22,1,0.5804,0.8093
31,1,0.6011,0.8654
38,1,0.5184,0.7707
39,1,0.4512,0.8048
40,1,0.4008,0.7822
41,1,0.4556,0.7620
42,1,0.4542,0.7471
42,2,0.7352,0.8019
43,1,0.5614,0.7443
43,2,0.7736,0.8538
44,1,0.6631,0.7180
45,1,0.8110,0.6969
46,1,0.8495,0.6790
47,1,0.8474,0.7747
52,1,0.7093,0.8003
55,1,0.4523,0.7300
56,1,0.3115,0.6474
57,1,0.6625,0.8467
57,2,0.2211,0.5569
58,1,0.6625,0.8467
58,2,0.2211,0.5569
59,1,0.6245,0.7700
59,2,0.2671,0.4907
60,1,0.6245,0.7700
60,2,0.2671,0.4907
61,1,0.6304,0.7869
61,2,0.2887,0.4736
62,1,0.6298,0.7724
62,2,0.2884,0.4651
63,1,0.6298,0.7724
63,2,0.2884,0.4651
64,1,0.6328,0.7707
64,2,0.2872,0.4615
64,3,0.9203,0.5290
65,1,0.2871,0.4554
66,1,0.5324,0.4927
66,2,0.2870,0.4610
67,1,0.8938,0.5830
67,2,0.6342,0.7684
67,3,0.2840,0.4637
67,4,0.3867,0.4684
68,1,0.6416,0.7546
68,2,0.2888,0.4555
68,3,0.7695,0.5480
68,4,0.3744,0.4720
69,1,0.6100,0.7271
69,2,0.2903,0.4491
69,3,0.3682,0.4654
70,1,0.6732,0.6229
70,2,0.2896,0.4485
70,3,0.3898,0.4646
71,1,0.6056,0.5344
71,2,0.4071,0.4751
72,1,0.5403,0.5091
72,2,0.4179,0.4637
73,1,0.2974,0.4760
73,2,0.4559,0.4778
74,1,0.3696,0.4610
75,1,0.1866,0.4971
75,2,0.3516,0.4632
76,1,0.2684,0.4522
76,2,0.3542,0.4592
77,1,0.1771,0.4453
