frame,par1,par2,par3,par4,par5,par6,media
47,175.31,,,,,,175.31
48,79.73,232.40,,152.94,,,155.02
49,205.20,,,,,,205.20
50,205.20,,,,,,205.20
51,138.22,195.55,,331.17,,,221.65
52,101.91,325.92,196.98,224.23,95.93,129.25,179.04
55,141.83,68.00,,74.37,,,94.73
62,146.52,,,,,,146.52
63,200.00,,,,,,200.00
64,346.13,,,,,,346.13
65,207.85,,,,,,207.85
66,207.85,,,,,,207.85
68,257.40,,,,,,257.40
69,257.40,,,,,,257.40
70,68.25,304.27,,372.02,,,248.18
71,68.25,304.27,,372.02,,,248.18
72,331.06,,,,,,331.06
73,331.06,,,,,,331.06
74,248.89,,,,,,248.89
75,83.90,293.03,,209.51,,,195.48
76,83.90,293.03,,209.51,,,195.48
77,83.90,293.03,,209.51,,,195.48
78,107.51,,,,,,107.51
79,107.51,,,,,,107.51
88,136.08,91.60,359.95,224.94,231.66,451.46,249.28
89,136.08,91.60,359.95,224.94,231.66,451.46,249.28
90,165.45,,,,,,165.45
91,165.45,,,,,,165.45
92,164.05,90.01,,253.79,,,169.28
93,164.05,90.01,,253.79,,,169.28
97,76.88,,,,,,76.88
98,98.82,,,,,,98.82
100,150.00,,,,,,150.00
101,110.73,,,,,,110.73
103,127.82,,,,,,127.82
104,127.82,,,,,,127.82
105,296.00,,,,,,296.00
106,296.00,,,,,,296.00
107,317.08,,,,,,317.08
108,314.25,440.76,,127.73,,,294.25
109,284.62,413.47,,130.44,,,276.18
110,284.62,413.47,,130.44,,,276.18
111,323.86,,,,,,323.86
112,278.36,,,,,,278.36
117,128.60,,,,,,128.60
118,139.37,,,,,,139.37
119,193.29,,,,,,193.29
124,141.63,,,,,,141.63
125,105.79,,,,,,105.79
126,105.79,,,,,,105.79
128,221.00,,,,,,221.00
129,286.00,,,,,,286.00
130,262.44,328.51,,69.30,,,220.08
131,284.68,76.83,,357.11,,,239.54
132,358.83,,,,,,358.83
133,358.83,,,,,,358.83
134,322.72,203.14,,127.12,,,217.66
135,125.09,290.72,,176.46,,,197.42
136,123.41,252.10,,140.02,,,171.84
137,220.86,,,,,,220.86
138,220.86,,,,,,220.86
142,68.12,,,,,,68.12
152,117.16,,,,,,117.16
153,146.75,,,,,,146.75
156,181.01,,,,,,181.01
157,237.59,,,,,,237.59
158,269.19,,,,,,269.19
159,302.38,144.20,,158.40,,,201.66
160,302.38,144.20,,158.40,,,201.66
161,146.72,205.15,319.09,117.34,215.17,113.97,186.24
162,146.72,205.15,319.09,117.34,215.17,113.97,186.24
163,143.77,,,,,,143.77
164,304.69,144.72,,192.33,,,213.91
165,304.69,144.72,,192.33,,,213.91
166,146.44,190.77,318.13,97.95,202.38,127.53,180.53
167,146.44,190.77,318.13,97.95,202.38,127.53,180.53
168,248.03,,,,,,248.03
169,248.03,,,,,,248.03
170,172.87,,,,,,172.87
171,172.87,,,,,,172.87
175,138.80,200.39,,76.14,,,138.44
176,138.80,200.39,,76.14,,,138.44
178,152.17,,,,,,152.17
179,245.35,125.63,,147.34,,,172.77
180,212.18,,,,,,212.18
181,148.19,148.12,,279.69,,,192.00
182,148.19,148.12,,279.69,,,192.00
183,346.08,,,,,,346.08
184,346.08,,,,,,346.08
185,336.35,456.59,,126.84,,,306.59
186,153.57,128.36,310.16,255.21,191.68,432.36,245.22
187,153.57,128.36,310.16,255.21,191.68,432.36,245.22
188,149.65,,,,,,149.65
190,130.45,248.91,,130.01,,,169.79
191,130.45,248.91,,130.01,,,169.79
192,218.48,111.67,,115.49,,,148.55
193,182.27,,,,,,182.27
196,104.37,,,,,,104.37
197,105.29,,,,,,105.29
198,95.13,,,,,,95.13
202,98.29,,,,,,98.29
203,204.43,,,,,,204.43
204,221.22,141.75,,89.75,,,150.91
205,293.52,185.25,,113.34,,,197.37
206,336.81,121.89,,218.16,,,225.62
207,369.51,118.75,,251.64,,,246.63
208,269.74,107.53,,377.26,,,251.51
209,376.73,95.28,,281.81,,,251.27
210,376.73,95.28,,281.81,,,251.27
211,319.64,,,,,,319.64
212,319.64,,,,,,319.64
213,160.57,249.94,,89.62,,,166.71
214,224.31,127.14,,97.59,,,149.68
215,182.93,,,,,,182.93
216,142.72,,,,,,142.72
217,142.72,,,,,,142.72
225,72.91,,,,,,72.91
226,72.91,,,,,,72.91
227,220.82,92.37,,158.76,,,157.32
228,410.49,123.15,269.44,295.45,155.52,172.22,237.71
229,410.49,123.15,269.44,295.45,155.52,172.22,237.71
230,410.49,123.15,269.44,295.45,155.52,172.22,237.71
231,331.70,52.69,,374.68,,,253.02
232,331.70,52.69,,374.68,,,253.02
233,199.07,,,,,,199.07
234,90.95,,,,,,90.95
235,267.61,,,,,,267.61
236,267.61,,,,,,267.61
237,267.54,388.99,,122.14,,,259.56
238,349.85,250.56,,112.27,,,237.56
239,142.23,,,,,,142.23
240,142.23,,,,,,142.23
241,376.05,,,,,,376.05
242,294.81,168.35,,130.63,,,197.93
243,147.88,,,,,,147.88
244,129.58,,,,,,129.58
245,129.58,,,,,,129.58
246,238.61,130.39,,109.92,,,159.64
247,153.31,,,,,,153.31
248,153.11,361.46,254.88,209.45,102.81,106.71,198.07
249,144.66,244.21,411.18,100.23,268.32,168.24,222.81
250,144.66,244.21,411.18,100.23,268.32,168.24,222.81
251,86.81,162.80,453.54,78.69,376.69,299.48,243.00
252,430.60,82.68,,384.13,,,299.14
253,430.60,82.68,,384.13,,,299.14
254,407.38,147.46,,272.42,,,275.75
255,146.06,219.88,,354.99,,,240.31
256,146.06,219.88,,354.99,,,240.31
257,266.29,187.01,64.79,87.53,325.13,241.89,195.44
258,99.81,153.55,,66.07,,,106.48
259,99.81,153.55,,66.07,,,106.48
260,98.49,,,,,,98.49
261,98.49,,,,,,98.49
262,211.52,301.55,,95.34,,,202.80
263,248.81,324.81,,79.30,,,217.64
264,297.53,109.59,,190.45,,,199.19
265,217.25,,,,,,217.25
266,182.61,,,,,,182.61
267,166.39,272.63,,112.06,,,183.69
268,166.39,272.63,,112.06,,,183.69
269,169.88,150.39,,320.14,,,213.47
270,206.84,175.69,117.08,382.31,322.52,61.32,210.96
271,416.85,170.67,101.06,248.49,315.89,70.57,220.59
272,416.85,170.67,101.06,248.49,315.89,70.57,220.59
273,384.33,,,,,,384.33
274,384.33,,,,,,384.33
275,251.07,89.06,,189.14,,,176.42
276,251.07,89.06,,189.14,,,176.42
277,112.19,,,,,,112.19
278,125.85,171.04,,48.51,,,115.13
279,173.62,,,,,,173.62
280,274.39,95.65,,179.99,,,183.34
281,198.77,135.48,259.14,332.26,60.51,392.76,229.82
282,171.31,387.92,438.97,219.77,271.21,51.45,256.77
283,165.24,407.72,,244.68,,,272.55
284,160.04,367.88,,211.88,,,246.60
285,130.90,285.71,214.80,165.62,115.81,83.12,165.99
286,216.54,126.05,,103.14,,,148.58
287,141.50,50.82,,182.95,,,125.09
288,72.85,126.75,,190.39,,,130.00
289,104.21,150.53,,247.59,,,167.44
290,295.80,,,,,,295.80
291,342.42,209.44,151.90,137.04,192.05,70.58,183.90
292,263.19,127.83,,387.67,,,259.56
293,263.19,127.83,,387.67,,,259.56
294,147.69,475.94,396.49,328.28,249.29,81.82,279.92
295,147.69,475.94,396.49,328.28,249.29,81.82,279.92
296,111.30,,,,,,111.30
297,111.30,,,,,,111.30
298,503.07,220.71,,282.75,,,335.51
299,464.05,158.75,228.66,306.96,243.60,71.37,245.56
300,464.05,158.75,228.66,306.96,243.60,71.37,245.56
301,470.73,,,,,,470.73
302,110.22,163.20,,252.15,,,175.19
303,187.01,91.62,,264.77,,,181.13
304,222.73,,,,,,222.73
305,222.73,,,,,,222.73
306,245.23,199.37,,439.81,,,294.80
307,191.88,194.93,249.49,377.53,434.58,57.67,251.01
308,120.77,192.44,270.01,296.54,377.49,81.30,223.09
309,213.64,281.61,,68.33,,,187.86
310,213.64,281.61,,68.33,,,187.86
311,278.84,190.80,,92.77,,,187.47
312,333.63,131.81,,464.82,,,310.09
313,293.63,215.79,,508.72,,,339.38
314,293.63,215.79,,508.72,,,339.38
315,176.90,122.65,240.37,64.34,413.99,353.35,228.60
316,176.90,122.65,240.37,64.34,413.99,353.35,228.60
317,178.83,337.15,97.34,164.58,82.86,240.14,183.48
318,322.57,114.91,,213.80,,,217.09
321,90.11,169.04,,83.93,,,114.36
322,90.11,169.04,,83.93,,,114.36
323,156.23,,,,,,156.23
324,156.23,,,,,,156.23
325,76.04,184.58,,258.94,,,173.19
327,193.42,174.11,,362.22,,,243.25
328,140.74,,,,,,140.74
329,140.74,,,,,,140.74
330,138.28,,,,,,138.28
331,138.28,,,,,,138.28
332,272.26,121.42,,153.97,,,182.55
333,272.26,121.42,,153.97,,,182.55
334,125.61,143.99,,265.54,,,178.38
335,362.56,194.64,127.48,170.94,239.02,68.36,193.83
336,212.89,,,,,,212.89
337,437.32,226.38,,212.88,,,292.19
338,238.81,401.53,173.91,163.34,68.29,231.05,212.82
339,238.81,401.53,173.91,163.34,68.29,231.05,212.82
340,158.84,254.25,,101.46,,,171.52
341,158.84,254.25,,101.46,,,171.52
342,250.82,194.57,,57.50,,,167.63
343,248.32,116.05,,135.42,,,166.60
344,323.52,175.26,248.98,151.97,75.82,83.61,176.53
345,248.48,334.24,,85.93,,,222.88
346,335.26,88.92,,247.97,,,224.05
347,335.26,88.92,,247.97,,,224.05
348,232.33,,,,,,232.33
349,249.35,141.72,206.22,128.84,61.85,116.42,150.73
350,83.00,,,,,,83.00
351,83.00,,,,,,83.00
