frame,par1,par2,par3,par4,par5,par6,media
5,370.67,,,,,,370.67
6,370.67,,,,,,370.67
7,311.26,,,,,,311.26
8,376.84,,,,,,376.84
21,148.35,124.95,,272.71,,,182.00
22,164.70,140.41,,304.71,,,203.27
23,181.42,,,,,,181.42
24,206.00,,,,,,206.00
25,196.50,,,,,,196.50
26,192.17,,,,,,192.17
27,206.90,,,,,,206.90
28,231.28,,,,,,231.28
29,226.85,,,,,,226.85
30,526.15,335.33,,225.95,,,362.48
31,493.98,,,,,,493.98
32,427.93,230.52,,248.94,,,302.46
33,164.19,346.44,,245.68,,,252.10
34,244.16,,,,,,244.16
36,274.53,,,,,,274.53
39,461.33,,,,,,461.33
42,188.64,,,,,,188.64
52,187.55,,,,,,187.55
54,258.07,,,,,,258.07
57,410.90,442.82,,71.82,,,308.51
58,500.81,,,,,,500.81
59,149.51,,,,,,149.51
60,149.51,,,,,,149.51
61,208.07,,,,,,208.07
62,222.45,,,,,,222.45
64,571.38,229.30,,347.88,,,382.85
65,569.07,226.76,,347.82,,,381.22
70,562.44,348.01,,218.62,,,376.36
72,222.28,,,,,,222.28
73,561.47,,,,,,561.47
74,564.53,,,,,,564.53
75,558.12,,,,,,558.12
76,494.63,103.10,,576.49,,,391.41
77,135.70,,,,,,135.70
78,149.86,,,,,,149.86
79,158.24,,,,,,158.24
81,86.47,,,,,,86.47
82,177.62,,,,,,177.62
83,280.32,,,,,,280.32
125,262.85,,,,,,262.85
126,270.63,,,,,,270.63
127,252.84,,,,,,252.84
128,220.46,,,,,,220.46
129,184.96,,,,,,184.96
130,170.82,475.71,,322.11,,,322.88
131,170.82,475.71,,322.11,,,322.88
132,140.34,322.04,,461.70,,,308.03
133,157.21,316.35,,458.14,,,310.57
134,177.84,323.82,,458.99,,,320.22
135,462.37,,,,,,462.37
136,445.43,,,,,,445.43
137,439.50,,,,,,439.50
138,437.10,,,,,,437.10
139,435.03,,,,,,435.03
140,427.55,,,,,,427.55
141,213.09,287.00,,425.89,,,308.66
142,176.53,271.90,,428.63,,,292.35
143,263.57,164.59,,427.72,,,285.29
144,154.62,,,,,,154.62
162,128.55,,,,,,128.55
163,157.86,,,,,,157.86
174,227.11,,,,,,227.11
175,196.04,,,,,,196.04
176,188.00,,,,,,188.00
177,181.31,,,,,,181.31
179,154.70,,,,,,154.70
182,235.81,,,,,,235.81
186,121.06,,,,,,121.06
187,121.06,,,,,,121.06
188,166.55,,,,,,166.55
189,166.55,,,,,,166.55
193,264.82,,,,,,264.82
204,263.18,,,,,,263.18
209,264.16,,,,,,264.16
210,264.16,,,,,,264.16
211,262.78,,,,,,262.78
213,260.54,,,,,,260.54
223,227.83,,,,,,227.83
224,227.83,,,,,,227.83
225,191.48,,,,,,191.48
226,173.68,,,,,,173.68
227,152.39,,,,,,152.39
228,152.39,,,,,,152.39
229,111.72,,,,,,111.72
230,97.71,,,,,,97.71
236,94.68,,,,,,94.68
242,119.27,,,,,,119.27
243,116.96,,,,,,116.96
244,135.04,164.29,,174.68,,,158.00
245,136.62,,,,,,136.62
246,171.11,160.42,,254.94,,,195.49
247,161.40,,,,,,161.40
248,163.88,,,,,,163.88
249,163.88,,,,,,163.88
250,260.74,162.89,,401.41,,,275.01
251,286.08,169.58,,434.79,,,296.82
252,290.91,178.92,,457.95,,,309.26
253,289.54,205.09,,483.47,,,326.03
254,288.99,513.00,193.54,227.89,124.90,349.17,282.92
255,268.63,271.60,,529.08,,,356.44
256,250.06,543.85,,295.16,,,363.02
257,231.88,331.01,,560.30,,,374.40
258,202.84,373.38,,576.12,,,384.11
259,202.84,373.38,,576.12,,,384.11
260,132.69,,,,,,132.69
261,81.39,,,,,,81.39
262,81.39,,,,,,81.39
263,543.18,,,,,,543.18
264,543.18,,,,,,543.18
265,118.06,460.27,,560.21,,,379.51
266,118.06,460.27,,560.21,,,379.51
267,125.30,542.09,,434.21,,,367.20
268,125.30,542.09,,434.21,,,367.20
269,103.47,402.32,,496.66,,,334.15
270,103.47,402.32,,496.66,,,334.15
271,109.22,363.39,,466.47,,,313.03
272,109.22,363.39,,466.47,,,313.03
273,113.09,325.89,,435.68,,,291.55
274,113.09,325.89,,435.68,,,291.55
275,280.71,123.20,,397.37,,,267.09
276,255.97,,,,,,255.97
277,255.97,,,,,,255.97
278,113.17,340.23,,235.75,,,229.72
279,110.56,228.85,,328.52,,,222.64
280,110.56,228.85,,328.52,,,222.64
281,76.95,,,,,,76.95
282,224.56,148.64,,349.50,,,240.90
283,151.89,,,,,,151.89
284,151.89,,,,,,151.89
290,233.78,150.72,,349.70,,,244.73
291,233.78,150.72,,349.70,,,244.73
292,172.49,,,,,,172.49
293,172.49,,,,,,172.49
294,213.11,,,,,,213.11
295,165.50,,,,,,165.50
296,65.18,242.13,,177.58,,,161.63
297,72.55,258.60,,186.96,,,172.70
298,277.86,79.63,,199.47,,,185.65
299,94.31,,,,,,94.31
300,87.72,,,,,,87.72
302,89.48,,,,,,89.48
303,89.48,,,,,,89.48
325,217.09,,,,,,217.09
326,217.09,,,,,,217.09
327,179.56,,,,,,179.56
328,179.56,,,,,,179.56
331,106.90,,,,,,106.90
364,47.01,,,,,,47.01
365,44.06,,,,,,44.06
384,34.47,,,,,,34.47
389,484.68,,,,,,484.68
392,32.67,,,,,,32.67
394,29.75,,,,,,29.75
414,279.72,,,,,,279.72
415,278.01,,,,,,278.01
416,278.01,,,,,,278.01
420,273.74,,,,,,273.74
421,286.77,,,,,,286.77
422,299.16,,,,,,299.16
423,299.16,,,,,,299.16
426,43.77,,,,,,43.77
427,43.77,,,,,,43.77
428,48.28,431.04,,389.98,,,289.77
429,397.15,443.42,,51.60,,,297.39
430,52.16,406.55,,454.24,,,304.32
431,50.76,478.47,,432.77,,,320.67
432,47.76,489.67,,449.08,,,328.84
433,47.76,489.67,,449.08,,,328.84
434,60.01,515.44,,460.86,,,345.44
435,479.24,60.11,,534.81,,,358.05
436,479.24,60.11,,534.81,,,358.05
437,488.89,61.36,,545.85,,,365.37
438,488.89,61.36,,545.85,,,365.37
439,517.26,,,,,,517.26
440,519.36,,,,,,519.36
441,534.70,,,,,,534.70
442,551.80,,,,,,551.80
443,551.80,,,,,,551.80
450,590.21,,,,,,590.21
453,588.53,,,,,,588.53
454,588.53,,,,,,588.53
455,577.82,,,,,,577.82
456,590.26,,,,,,590.26
457,584.51,,,,,,584.51
458,576.42,,,,,,576.42
462,577.49,,,,,,577.49
463,577.49,,,,,,577.49
470,576.93,,,,,,576.93
531,580.67,,,,,,580.67
537,482.51,,,,,,482.51
538,482.51,,,,,,482.51
541,428.28,,,,,,428.28
542,72.15,507.62,,436.29,,,338.69
546,469.14,,,,,,469.14
547,100.01,,,,,,100.01
548,452.05,,,,,,452.05
549,452.05,,,,,,452.05
550,328.02,,,,,,328.02
551,84.59,,,,,,84.59
552,84.59,,,,,,84.59
553,81.59,397.33,,316.70,,,265.21
556,99.22,,,,,,99.22
557,99.22,,,,,,99.22
558,106.45,,,,,,106.45
559,90.24,,,,,,90.24
560,90.24,,,,,,90.24
561,210.29,,,,,,210.29
562,210.29,,,,,,210.29
563,88.51,,,,,,88.51
564,198.24,,,,,,198.24
565,208.17,,,,,,208.17
569,195.81,,,,,,195.81
570,233.82,,,,,,233.82
576,81.05,,,,,,81.05
577,81.05,,,,,,81.05
582,334.63,,,,,,334.63
583,334.63,,,,,,334.63
589,212.90,,,,,,212.90
593,339.07,,,,,,339.07
594,339.07,,,,,,339.07
599,128.49,,,,,,128.49
600,128.49,,,,,,128.49
684,106.48,,,,,,106.48
685,112.06,,,,,,112.06
709,134.02,,,,,,134.02
733,198.16,,,,,,198.16
735,359.30,,,,,,359.30
736,359.30,,,,,,359.30
739,204.90,,,,,,204.90
755,150.76,,,,,,150.76
756,150.76,,,,,,150.76
784,213.94,100.77,,130.40,,,148.37
785,213.94,100.77,,130.40,,,148.37
786,212.52,98.49,,122.20,,,144.40
787,122.94,,,,,,122.94
788,122.48,,,,,,122.48
789,122.91,225.47,,108.21,,,152.20
790,122.91,225.47,,108.21,,,152.20
791,161.20,273.30,,113.49,,,182.66
792,161.20,273.30,,113.49,,,182.66
795,172.12,,,,,,172.12
796,163.88,131.69,,293.73,,,196.43
797,163.88,131.69,,293.73,,,196.43
798,284.63,152.93,,132.88,,,190.15
799,284.63,152.93,,132.88,,,190.15
800,175.40,315.64,,140.33,,,210.46
801,175.40,315.64,,140.33,,,210.46
805,144.22,,,,,,144.22
807,171.46,,,,,,171.46
808,175.55,,,,,,175.55
809,175.55,,,,,,175.55
810,176.66,,,,,,176.66
811,176.66,,,,,,176.66
821,174.85,,,,,,174.85
828,180.13,,,,,,180.13
829,180.13,,,,,,180.13
831,188.83,,,,,,188.83
832,188.83,,,,,,188.83
833,188.40,354.65,,177.89,,,240.31
834,188.40,354.65,,177.89,,,240.31
835,185.43,,,,,,185.43
836,185.43,,,,,,185.43
837,184.80,,,,,,184.80
838,185.74,,,,,,185.74
839,182.44,,,,,,182.44
840,182.44,,,,,,182.44
841,180.42,,,,,,180.42
842,178.91,,,,,,178.91
843,178.91,,,,,,178.91
844,178.95,,,,,,178.95
845,178.95,,,,,,178.95
846,182.97,,,,,,182.97
847,358.23,185.67,,184.25,,,242.72
848,186.33,,,,,,186.33
849,186.33,,,,,,186.33
850,175.78,,,,,,175.78
852,186.21,,,,,,186.21
866,185.31,,,,,,185.31
867,185.31,,,,,,185.31
881,237.69,,,,,,237.69
882,246.48,,,,,,246.48
883,252.26,,,,,,252.26
884,258.79,,,,,,258.79
885,263.55,,,,,,263.55
887,270.82,,,,,,270.82
888,270.82,,,,,,270.82
889,281.41,,,,,,281.41
890,108.15,,,,,,108.15
891,357.60,468.15,,110.60,,,312.12
892,113.74,,,,,,113.74
893,117.20,,,,,,117.20
894,361.41,480.82,,120.42,,,320.88
