frame,person,x,y
4,1,0.2434,0.5211
5,1,0.3075,0.5535
6,1,0.4190,0.5271
7,1,0.4827,0.5183
8,1,0.5143,0.4945
8,2,0.7385,0.8183
9,1,0.5566,0.4858
9,2,0.8318,0.7925
10,1,0.8440,0.7878
10,2,0.5828,0.4834
11,1,0.5928,0.4564
11,2,0.8188,0.7735
12,1,0.6707,0.4378
13,1,0.7009,0.4141
13,2,0.9257,0.7268
14,1,0.7494,0.4233
14,2,0.8792,0.7349
15,1,0.7932,0.4337
15,2,0.8693,0.7548
16,1,0.8748,0.7290
17,1,0.8746,0.7325
18,1,0.8762,0.7412
19,1,0.8732,0.7357
20,1,0.8755,0.7313
21,1,0.8730,0.7118
22,1,0.8730,0.7118
23,1,0.8716,0.7035
23,2,0.9210,0.3673
25,1,0.7963,0.4189
25,2,0.8718,0.7387
26,1,0.7521,0.4042
26,2,0.8658,0.7416
27,1,0.8282,0.7187
27,2,0.6935,0.3958
28,1,0.8107,0.6929
28,2,0.6328,0.3803
29,1,0.8028,0.7088
29,2,0.5882,0.3652
30,1,0.8076,0.6955
30,2,0.5320,0.3484
31,1,0.8107,0.6975
31,2,0.4887,0.3420
32,1,0.8123,0.7048
32,2,0.4398,0.3465
33,1,0.8131,0.7060
33,2,0.4066,0.3782
34,1,0.8065,0.7045
34,2,0.3115,0.3686
35,1,0.2547,0.3749
35,2,0.8029,0.7030
36,1,0.8041,0.7024
36,2,0.2395,0.3622
37,1,0.8041,0.7024
37,2,0.2395,0.3622
38,1,0.8087,0.7036
38,2,0.1604,0.3397
39,1,0.8087,0.7036
39,2,0.1604,0.3397
40,1,0.8088,0.7048
40,2,0.1166,0.3220
41,1,0.8094,0.6818
41,2,0.1034,0.3206
42,1,0.8089,0.6854
42,2,0.0956,0.3120
43,1,0.8049,0.6993
43,2,0.1021,0.3196
44,1,0.8032,0.6969
44,2,0.1023,0.3382
45,1,0.8032,0.6969
45,2,0.1023,0.3382
46,1,0.7978,0.6899
46,2,0.1196,0.3746
47,1,0.7978,0.6899
47,2,0.1196,0.3746
48,1,0.7851,0.6871
48,2,0.1540,0.3873
