frame,par1,par2,par3,par4,par5,par6,media
6,184.89,,,,,,184.89
7,207.87,,,,,,207.87
8,207.87,,,,,,207.87
9,199.90,,,,,,199.90
10,184.27,,,,,,184.27
11,184.27,,,,,,184.27
12,182.67,,,,,,182.67
13,182.67,,,,,,182.67
14,139.56,,,,,,139.56
15,139.56,,,,,,139.56
23,125.12,,,,,,125.12
24,125.12,,,,,,125.12
25,124.88,,,,,,124.88
26,124.88,,,,,,124.88
27,141.61,,,,,,141.61
28,160.08,,,,,,160.08
29,184.80,,,,,,184.80
30,184.80,,,,,,184.80
31,184.80,,,,,,184.80
32,271.08,,,,,,271.08
33,313.40,,,,,,313.40
34,313.40,,,,,,313.40
35,339.08,,,,,,339.08
36,370.19,,,,,,370.19
37,370.19,,,,,,370.19
38,381.53,,,,,,381.53
39,408.21,,,,,,408.21
40,408.21,,,,,,408.21
41,463.90,,,,,,463.90
42,463.90,,,,,,463.90
43,463.90,,,,,,463.90
44,463.90,,,,,,463.90
45,466.76,,,,,,466.76
46,466.76,,,,,,466.76
47,466.76,,,,,,466.76
48,466.76,,,,,,466.76
49,448.62,,,,,,448.62
50,406.38,,,,,,406.38
51,406.38,,,,,,406.38
52,406.38,,,,,,406.38
53,406.38,,,,,,406.38
54,406.38,,,,,,406.38
69,296.82,,,,,,296.82
70,512.50,267.35,,250.64,,,343.50
71,462.37,,,,,,462.37
72,462.37,,,,,,462.37
73,462.37,,,,,,462.37
74,462.37,,,,,,462.37
75,462.37,,,,,,462.37
76,372.54,112.09,,454.89,,,313.17
77,372.54,112.09,,454.89,,,313.17
78,372.54,112.09,,454.89,,,313.17
79,372.54,112.09,,454.89,,,313.17
83,519.97,,,,,,519.97
86,434.77,,,,,,434.77
87,434.77,,,,,,434.77
94,363.33,,,,,,363.33
97,352.33,,,,,,352.33
98,352.33,,,,,,352.33
99,479.18,,,,,,479.18
100,381.74,,,,,,381.74
101,381.74,,,,,,381.74
102,381.74,,,,,,381.74
103,322.74,,,,,,322.74
106,359.77,232.75,,576.79,,,389.77
107,359.77,232.75,,576.79,,,389.77
108,294.16,,,,,,294.16
109,313.66,,,,,,313.66
110,313.66,,,,,,313.66
111,197.03,488.46,,349.00,,,344.83
112,197.03,488.46,,349.00,,,344.83
113,470.50,174.10,,367.91,,,337.50
114,470.50,174.10,,367.91,,,337.50
115,423.45,136.56,,369.10,,,309.70
116,340.20,,,,,,340.20
117,340.20,,,,,,340.20
118,283.28,,,,,,283.28
119,283.28,,,,,,283.28
120,295.92,127.02,107.03,188.34,393.98,210.28,220.43
121,239.70,347.46,,111.59,,,232.92
122,239.70,347.46,,111.59,,,232.92
123,239.70,347.46,,111.59,,,232.92
124,104.23,,,,,,104.23
125,104.23,,,,,,104.23
126,94.72,,,,,,94.72
133,104.78,,,,,,104.78
134,104.78,,,,,,104.78
137,99.47,,,,,,99.47
147,54.46,,,,,,54.46
151,75.08,,,,,,75.08
156,93.13,,,,,,93.13
157,93.13,,,,,,93.13
158,93.13,,,,,,93.13
159,93.13,,,,,,93.13
164,71.79,,,,,,71.79
165,67.65,140.34,,72.74,,,93.58
166,67.65,140.34,,72.74,,,93.58
167,67.65,140.34,,72.74,,,93.58
168,67.65,140.34,,72.74,,,93.58
169,75.57,,,,,,75.57
170,75.57,,,,,,75.57
171,75.57,,,,,,75.57
172,95.18,163.38,,68.26,,,108.94
173,99.42,117.44,68.33,216.85,167.68,49.29,119.83
174,99.42,117.44,68.33,216.85,167.68,49.29,119.83
175,99.42,117.44,68.33,216.85,167.68,49.29,119.83
