frame,person,x,y
41,1,0.2529,0.7902
42,1,0.5156,0.8236
43,1,0.9038,0.8134
48,1,0.9428,0.7982
49,1,0.9428,0.7982
60,1,0.9161,0.8046
61,1,0.9196,0.7572
62,1,0.9136,0.7927
63,1,0.9145,0.7818
64,1,0.9287,0.7973
65,1,0.9324,0.7820
66,1,0.9258,0.7617
67,1,0.9258,0.7617
68,1,0.9106,0.7837
69,1,0.8987,0.7847
70,1,0.8689,0.7523
71,1,0.8942,0.7398
72,1,0.8867,0.7581
73,1,0.8868,0.7714
74,1,0.8811,0.7704
75,1,0.8870,0.7561
76,1,0.8883,0.7579
77,1,0.8880,0.7587
78,1,0.8880,0.7587
79,1,0.8447,0.7512
80,1,0.8465,0.7509
81,1,0.8421,0.7683
82,1,0.8512,0.7472
83,1,0.8508,0.7680
84,1,0.8508,0.7680
85,1,0.8697,0.7718
86,1,0.8503,0.7536
87,1,0.8434,0.7491
88,1,0.8493,0.7485
89,1,0.8428,0.7487
90,1,0.8348,0.7680
91,1,0.8365,0.7477
92,1,0.7883,0.7315
93,1,0.6834,0.6957
94,1,0.5984,0.7017
95,1,0.5971,0.7005
96,1,0.6005,0.6959
97,1,0.5835,0.6912
98,1,0.5759,0.6906
99,1,0.5760,0.6911
100,1,0.5790,0.6907
101,1,0.5798,0.6909
102,1,0.5769,0.6917
103,1,0.5769,0.6917
104,1,0.5764,0.6913
105,1,0.5767,0.6911
106,1,0.5764,0.6915
107,1,0.5762,0.6899
108,1,0.5767,0.6905
109,1,0.5767,0.6905
110,1,0.5765,0.6913
111,1,0.5770,0.6921
112,1,0.5766,0.6921
113,1,0.5752,0.6929
114,1,0.5746,0.6930
114,2,0.8627,0.8250
115,1,0.5763,0.6928
115,2,0.9135,0.8220
116,1,0.5771,0.6868
117,1,0.5784,0.6889
118,1,0.5793,0.6886
118,2,0.9398,0.7927
119,1,0.5788,0.6904
120,1,0.5788,0.6904
121,1,0.5775,0.6922
122,1,0.5775,0.6916
122,2,0.9461,0.7676
123,1,0.5776,0.6905
123,2,0.9447,0.7638
124,1,0.5777,0.6907
124,2,0.9427,0.7678
125,1,0.5777,0.6915
125,2,0.9413,0.7736
126,1,0.5782,0.6917
126,2,0.9407,0.7748
127,1,0.5778,0.6915
127,2,0.9468,0.7775
128,1,0.5783,0.6918
128,2,0.9382,0.8056
129,1,0.5787,0.6918
130,1,0.5789,0.6939
131,1,0.5794,0.6935
132,1,0.5784,0.6927
132,2,0.9074,0.7877
133,1,0.5793,0.6916
133,2,0.9359,0.7951
134,1,0.5791,0.6882
134,2,0.9239,0.8079
135,1,0.5785,0.6923
136,1,0.5795,0.6934
137,1,0.5806,0.6942
138,1,0.5806,0.6942
139,1,0.5800,0.6955
140,1,0.5807,0.6958
141,1,0.5800,0.6959
141,2,0.9243,0.8065
142,1,0.5781,0.6971
142,2,0.9238,0.8115
143,1,0.5782,0.7027
144,1,0.9317,0.8342
144,2,0.5760,0.7085
145,1,0.5732,0.7221
145,2,0.9404,0.8192
146,1,0.5737,0.7427
147,1,0.5703,0.7566
147,2,0.9413,0.8206
148,1,0.5702,0.7659
149,1,0.5727,0.7872
150,1,0.5741,0.7936
150,2,0.9298,0.8118
151,1,0.5726,0.8019
152,1,0.8529,0.8323
152,2,0.5697,0.8252
153,1,0.7871,0.8494
153,2,0.5704,0.8238
154,1,0.7383,0.8392
155,1,0.7823,0.8402
155,2,0.5721,0.8187
156,1,0.5684,0.8329
156,2,0.7987,0.8312
157,1,0.6727,0.8459
158,1,0.7065,0.8226
159,1,0.7251,0.8359
160,1,0.7210,0.8315
161,1,0.7184,0.8290
162,1,0.7218,0.8363
163,1,0.7184,0.8265
164,1,0.7364,0.8304
164,2,0.5705,0.8718
165,1,0.7271,0.8374
165,2,0.5736,0.8524
166,1,0.7271,0.8374
166,2,0.5736,0.8524
167,1,0.7215,0.8347
168,1,0.7194,0.8280
169,1,0.7246,0.8333
172,1,0.5152,0.8045
173,1,0.3703,0.7959
173,2,0.5717,0.8667
174,1,0.3294,0.7406
174,2,0.5730,0.8660
175,1,0.2481,0.7335
175,2,0.5762,0.8727
176,1,0.2270,0.7152
176,2,0.5769,0.8769
