frame,par1,par2,par3,par4,par5,par6,media
11,212.82,,,,,,212.82
12,212.82,,,,,,212.82
16,191.80,,,,,,191.80
20,232.81,,,,,,232.81
21,232.81,,,,,,232.81
34,472.61,,,,,,472.61
35,472.61,,,,,,472.61
36,472.61,,,,,,472.61
37,476.32,,,,,,476.32
38,476.32,,,,,,476.32
39,191.01,,,,,,191.01
40,173.54,,,,,,173.54
41,102.46,,,,,,102.46
42,427.17,,,,,,427.17
43,427.17,,,,,,427.17
44,427.17,,,,,,427.17
50,342.26,,,,,,342.26
51,342.26,,,,,,342.26
55,325.72,,,,,,325.72
56,325.72,,,,,,325.72
57,389.08,,,,,,389.08
58,358.79,,,,,,358.79
62,364.25,,,,,,364.25
69,322.83,,,,,,322.83
70,322.83,,,,,,322.83
71,349.34,,,,,,349.34
72,350.28,,,,,,350.28
73,350.28,,,,,,350.28
74,373.15,,,,,,373.15
75,356.28,,,,,,356.28
76,356.28,,,,,,356.28
77,356.28,,,,,,356.28
78,330.60,,,,,,330.60
79,330.60,,,,,,330.60
80,362.48,,,,,,362.48
81,358.69,,,,,,358.69
82,317.67,,,,,,317.67
83,317.67,,,,,,317.67
84,360.10,,,,,,360.10
85,342.69,,,,,,342.69
86,342.69,,,,,,342.69
87,342.69,,,,,,342.69
101,242.77,,,,,,242.77
102,242.77,,,,,,242.77
103,246.17,,,,,,246.17
104,246.17,,,,,,246.17
105,224.62,,,,,,224.62
106,239.64,,,,,,239.64
107,239.64,,,,,,239.64
108,233.94,,,,,,233.94
109,233.94,,,,,,233.94
110,233.12,,,,,,233.12
111,233.12,,,,,,233.12
113,178.73,,,,,,178.73
114,178.73,,,,,,178.73
115,178.73,,,,,,178.73
139,178.46,,,,,,178.46
140,178.46,,,,,,178.46
159,159.31,,,,,,159.31
160,159.31,,,,,,159.31
161,126.75,,,,,,126.75
162,126.75,,,,,,126.75
163,97.63,,,,,,97.63
170,110.54,,,,,,110.54
175,30.21,,,,,,30.21
176,30.21,,,,,,30.21
177,30.21,,,,,,30.21
178,160.70,,,,,,160.70
179,160.70,,,,,,160.70
180,182.65,,,,,,182.65
181,182.65,,,,,,182.65
182,216.06,,,,,,216.06
183,233.16,,,,,,233.16
184,235.67,,,,,,235.67
185,199.09,,,,,,199.09
186,199.09,,,,,,199.09
187,179.47,,,,,,179.47
188,147.31,,,,,,147.31
189,147.31,,,,,,147.31
195,43.87,,,,,,43.87
199,45.93,,,,,,45.93
201,142.05,190.42,,49.23,,,127.23
202,142.05,190.42,,49.23,,,127.23
203,92.90,,,,,,92.90
209,244.29,,,,,,244.29
210,402.48,189.46,,213.03,,,268.32
211,402.48,189.46,,213.03,,,268.32
212,157.89,226.72,,384.21,,,256.27
213,157.89,226.72,,384.21,,,256.27
214,74.11,,,,,,74.11
215,74.11,,,,,,74.11
216,88.83,172.63,,237.72,,,166.39
217,88.83,172.63,,237.72,,,166.39
218,156.40,,,,,,156.40
220,172.48,,,,,,172.48
221,172.48,,,,,,172.48
223,65.46,,,,,,65.46
224,88.85,,,,,,88.85
225,88.85,,,,,,88.85
226,88.85,,,,,,88.85
227,127.02,84.90,,211.92,,,141.28
228,144.27,233.47,,89.20,,,155.65
229,148.51,,,,,,148.51
230,140.21,,,,,,140.21
231,119.37,,,,,,119.37
232,119.37,,,,,,119.37
234,154.33,,,,,,154.33
235,154.33,,,,,,154.33
238,266.42,127.30,,139.50,,,177.74
239,266.42,127.30,,139.50,,,177.74
240,126.10,269.27,,143.54,,,179.64
241,147.13,118.49,,265.04,,,176.89
242,257.84,149.93,,108.69,,,172.15
243,155.19,257.67,,103.11,,,171.99
244,259.37,143.75,,116.30,,,173.14
245,97.59,219.84,,124.51,,,147.31
246,85.11,120.83,,204.31,,,136.75
247,106.39,,,,,,106.39
248,109.97,268.24,,164.04,,,180.75
249,326.14,235.27,,91.03,,,217.48
250,326.14,235.27,,91.03,,,217.48
252,478.80,,,,,,478.80
253,507.87,,,,,,507.87
254,507.87,,,,,,507.87
255,560.66,,,,,,560.66
256,564.10,,,,,,564.10
257,548.63,,,,,,548.63
258,518.90,,,,,,518.90
259,490.56,,,,,,490.56
260,469.69,,,,,,469.69
261,438.87,,,,,,438.87
262,401.70,,,,,,401.70
263,401.70,,,,,,401.70
264,322.56,,,,,,322.56
265,322.56,,,,,,322.56
268,76.92,,,,,,76.92
269,77.56,,,,,,77.56
270,106.33,182.11,,77.58,,,122.01
271,106.33,182.11,,77.58,,,122.01
272,67.24,,,,,,67.24
273,93.27,,,,,,93.27
278,112.12,,,,,,112.12
279,99.02,98.66,,197.47,,,131.72
280,99.02,98.66,,197.47,,,131.72
281,174.74,,,,,,174.74
282,174.74,,,,,,174.74
285,134.01,,,,,,134.01
286,134.01,,,,,,134.01
287,207.37,,,,,,207.37
288,207.37,,,,,,207.37
289,312.54,79.51,,233.16,,,208.40
290,221.34,99.35,,320.47,,,213.72
291,221.34,99.35,,320.47,,,213.72
292,154.71,293.90,,139.68,,,196.10
293,164.50,270.96,,106.84,,,180.77
294,164.50,270.96,,106.84,,,180.77
295,171.88,,,,,,171.88
309,222.05,,,,,,222.05
320,150.41,,,,,,150.41
321,173.20,92.54,,80.67,,,115.47
322,173.20,92.54,,80.67,,,115.47
325,142.99,59.30,,83.71,,,95.33
326,142.99,59.30,,83.71,,,95.33
327,200.78,122.77,,78.24,,,133.93
328,96.18,145.65,,241.78,,,161.20
329,96.18,145.65,,241.78,,,161.20
330,126.35,,,,,,126.35
331,126.35,,,,,,126.35
332,280.34,,,,,,280.34
333,303.13,,,,,,303.13
335,85.37,,,,,,85.37
336,85.37,,,,,,85.37
337,153.33,,,,,,153.33
338,195.02,,,,,,195.02
339,195.02,,,,,,195.02
340,257.54,,,,,,257.54
341,257.54,,,,,,257.54
342,281.10,,,,,,281.10
343,281.10,,,,,,281.10
344,273.13,,,,,,273.13
345,87.12,268.86,,349.83,,,235.27
346,87.12,268.86,,349.83,,,235.27
347,220.78,,,,,,220.78
348,308.29,,,,,,308.29
349,308.29,,,,,,308.29
350,260.52,189.51,153.93,74.85,106.78,37.79,137.23
351,237.58,,,,,,237.58
352,237.58,,,,,,237.58
353,95.37,100.53,,188.06,,,127.99
354,95.37,100.53,,188.06,,,127.99
355,67.47,124.00,,59.66,,,83.71
356,67.47,124.00,,59.66,,,83.71
357,112.70,,,,,,112.70
358,106.62,,,,,,106.62
362,78.67,233.74,,156.86,,,156.42
363,89.88,263.59,,175.66,,,176.38
364,89.88,263.59,,175.66,,,176.38
365,88.63,205.30,,293.17,,,195.70
366,82.47,215.48,,297.55,,,198.50
367,83.94,198.13,,281.78,,,187.95
368,83.94,198.13,,281.78,,,187.95
369,254.88,,,,,,254.88
373,181.24,,,,,,181.24
374,163.32,208.11,,47.88,,,139.77
375,144.34,132.39,73.58,273.69,213.93,59.78,149.62
376,141.63,76.52,,215.46,,,144.54
377,63.75,,,,,,63.75
378,95.79,234.32,,140.45,,,156.85
379,240.20,117.85,,123.90,,,160.65
380,240.20,117.85,,123.90,,,160.65
381,124.71,,,,,,124.71
382,132.00,,,,,,132.00
383,132.00,,,,,,132.00
384,98.82,176.82,,273.05,,,182.90
385,219.10,,,,,,219.10
387,195.09,279.46,,91.76,,,188.77
388,262.36,82.24,,182.77,,,175.79
389,252.63,189.66,,64.22,,,168.84
390,252.63,189.66,,64.22,,,168.84
391,53.94,244.12,,190.19,,,162.75
392,53.94,244.12,,190.19,,,162.75
395,107.94,,,,,,107.94
396,107.94,,,,,,107.94
399,48.06,,,,,,48.06
400,50.54,,,,,,50.54
401,50.54,,,,,,50.54
402,64.67,,,,,,64.67
403,66.19,,,,,,66.19
404,69.25,,,,,,69.25
405,69.44,,,,,,69.44
406,73.97,,,,,,73.97
407,73.97,,,,,,73.97
408,77.63,,,,,,77.63
409,74.93,,,,,,74.93
410,164.67,,,,,,164.67
411,170.26,,,,,,170.26
412,78.57,,,,,,78.57
413,81.72,,,,,,81.72
414,81.72,,,,,,81.72
415,81.72,,,,,,81.72
416,81.72,,,,,,81.72
417,76.36,,,,,,76.36
418,76.36,,,,,,76.36
419,80.26,,,,,,80.26
420,80.26,,,,,,80.26
421,83.68,91.46,,174.07,,,116.40
422,83.68,91.46,,174.07,,,116.40
423,79.58,88.72,,167.98,,,112.09
424,88.40,91.61,,179.74,,,119.92
425,84.92,,,,,,84.92
426,84.92,,,,,,84.92
427,77.86,,,,,,77.86
428,76.83,,,,,,76.83
429,81.36,,,,,,81.36
430,79.64,87.76,,166.73,,,111.38
431,78.51,89.10,,167.18,,,111.60
432,88.12,180.04,,92.01,,,120.06
433,88.12,180.04,,92.01,,,120.06
434,85.53,,,,,,85.53
435,89.02,,,,,,89.02
436,99.86,,,,,,99.86
437,99.86,,,,,,99.86
438,93.32,,,,,,93.32
439,89.29,88.53,,177.43,,,118.42
440,89.29,88.53,,177.43,,,118.42
441,163.60,84.97,,79.26,,,109.28
442,86.06,,,,,,86.06
443,90.27,,,,,,90.27
444,90.27,,,,,,90.27
445,96.97,,,,,,96.97
446,96.97,,,,,,96.97
447,101.04,69.44,,169.88,,,113.45
448,101.04,69.44,,169.88,,,113.45
449,165.71,84.73,,81.33,,,110.59
450,78.13,170.16,,92.25,,,113.51
451,79.63,,,,,,79.63
452,87.56,,,,,,87.56
453,98.60,,,,,,98.60
454,100.17,,,,,,100.17
